lab_subject_id,sex,subject_id,native_language
11003,female,0,eng
11009,female,1,eng
11011,male,2,eng
11014,male,3,eng
11035,male,4,eng
11036,male,5,eng
11037,male,6,eng
11070,female,7,eng
11136,male,8,eng
11141,female,9,eng
11200,female,10,eng
11327,male,11,eng
11356,female,12,eng
11417,male,13,eng
11611,male,14,eng
11655,male,15,eng
11743,male,16,eng
11958,female,17,eng
12095,male,18,eng
12297,female,19,eng
12316,female,20,eng
12390,male,21,eng
12398,female,22,eng
12409,female,23,eng
12417,male,24,eng
12512,female,25,eng
12520,female,26,eng
12547,female,27,eng
12608,female,28,eng
12612,female,29,eng
12683,female,30,eng
12717,male,31,eng
12724,male,32,eng
12737,female,33,eng
12828,male,34,eng
12830,male,35,eng
12840,female,36,eng
12878,female,37,eng
12959,female,38,eng
12971,female,39,eng
12973,male,40,eng
13044,female,41,eng
13061,female,42,eng
13069,male,43,eng
13073,male,44,eng
13079,male,45,eng
13081,female,46,eng
13094,male,47,eng
13096,male,48,eng
13128,female,49,eng
13131,male,50,eng
13142,female,51,eng
13151,female,52,eng
13191,female,53,eng
13199,male,54,eng
13233,male,55,eng
13293,female,56,eng
13304,female,57,eng
13326,male,58,eng
13332,male,59,eng
13346,male,60,eng
13364,male,61,eng
13503,male,62,eng
13604,male,63,eng
13628,male,64,eng
13648,female,65,eng
911343,male,66,eng
911401,male,67,eng
911429,male,68,eng
