target_side,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,condition
left,0,22,NA,0,0,TL2-1-2,NA,0,eng,
right,1,23,NA,1,0,TL2-1-3,NA,0,eng,
left,2,24,NA,2,0,TL2-1-4,NA,0,eng,
right,3,25,NA,3,0,TL2-1-5,NA,0,eng,
right,4,17,NA,4,0,TL2-1-6,NA,0,eng,
right,5,21,NA,5,0,TL2-1-7,NA,0,eng,
left,6,26,NA,6,0,TL2-1-8,NA,0,eng,
left,7,16,NA,7,0,TL2-1-9,NA,0,eng,
right,8,18,NA,8,0,TL2-1-11,NA,0,eng,
right,9,27,NA,9,0,TL2-1-12,NA,0,eng,
left,10,20,NA,10,0,TL2-1-13,NA,0,eng,
right,11,19,NA,11,0,TL2-1-14,NA,0,eng,
left,12,28,NA,12,0,TL2-1-15,NA,0,eng,
right,13,29,NA,13,0,TL2-1-16,NA,0,eng,
left,14,30,NA,14,0,TL2-1-17,NA,0,eng,
left,15,31,NA,15,0,TL2-1-18,NA,0,eng,
right,16,7,NA,16,0,TL2-1-20,NA,0,eng,
left,6,26,NA,17,0,TL2-1-21,NA,0,eng,
left,17,4,NA,18,0,TL2-1-22,NA,0,eng,
right,3,25,NA,19,0,TL2-1-23,NA,0,eng,
right,18,8,NA,20,0,TL2-1-24,NA,0,eng,
left,9,27,NA,21,0,TL2-1-25,NA,0,eng,
right,19,11,NA,22,0,TL2-1-26,NA,0,eng,
left,20,10,NA,23,0,TL2-1-27,NA,0,eng,
right,21,5,NA,24,0,TL2-1-29,NA,0,eng,
right,2,24,NA,25,0,TL2-1-30,NA,0,eng,
left,22,0,NA,26,0,TL2-1-31,NA,0,eng,
left,12,28,NA,27,0,TL2-1-32,NA,0,eng,
right,23,1,NA,28,0,TL2-1-33,NA,0,eng,
left,15,31,NA,29,0,TL2-1-34,NA,0,eng,
right,13,29,NA,30,0,TL2-1-35,NA,0,eng,
left,14,30,NA,31,0,TL2-1-36,NA,0,eng,
right,22,0,NA,32,0,TL2-2-2,NA,0,eng,
left,23,1,NA,33,0,TL2-2-3,NA,0,eng,
right,24,2,NA,34,0,TL2-2-4,NA,0,eng,
left,25,3,NA,35,0,TL2-2-5,NA,0,eng,
left,17,4,NA,36,0,TL2-2-6,NA,0,eng,
left,21,5,NA,37,0,TL2-2-7,NA,0,eng,
right,26,6,NA,38,0,TL2-2-8,NA,0,eng,
right,16,7,NA,39,0,TL2-2-9,NA,0,eng,
left,18,8,NA,40,0,TL2-2-11,NA,0,eng,
left,27,9,NA,41,0,TL2-2-12,NA,0,eng,
right,20,10,NA,42,0,TL2-2-13,NA,0,eng,
left,19,11,NA,43,0,TL2-2-14,NA,0,eng,
right,28,12,NA,44,0,TL2-2-15,NA,0,eng,
left,29,13,NA,45,0,TL2-2-16,NA,0,eng,
right,30,14,NA,46,0,TL2-2-17,NA,0,eng,
right,31,15,NA,47,0,TL2-2-18,NA,0,eng,
left,7,16,NA,48,0,TL2-2-20,NA,0,eng,
right,26,6,NA,49,0,TL2-2-21,NA,0,eng,
right,4,17,NA,50,0,TL2-2-22,NA,0,eng,
left,25,3,NA,51,0,TL2-2-23,NA,0,eng,
left,8,18,NA,52,0,TL2-2-24,NA,0,eng,
right,27,9,NA,53,0,TL2-2-25,NA,0,eng,
left,11,19,NA,54,0,TL2-2-26,NA,0,eng,
right,10,20,NA,55,0,TL2-2-27,NA,0,eng,
left,5,21,NA,56,0,TL2-2-29,NA,0,eng,
left,24,2,NA,57,0,TL2-2-30,NA,0,eng,
right,0,22,NA,58,0,TL2-2-31,NA,0,eng,
right,28,12,NA,59,0,TL2-2-32,NA,0,eng,
left,1,23,NA,60,0,TL2-2-33,NA,0,eng,
right,31,15,NA,61,0,TL2-2-34,NA,0,eng,
left,29,13,NA,62,0,TL2-2-35,NA,0,eng,
right,30,14,NA,63,0,TL2-2-36,NA,0,eng,
