trial_order,trial_type_id,trial_id
1,0,0
2,1,1
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,8
10,9,9
11,10,10
12,11,11
13,12,12
14,13,13
15,14,14
16,15,15
17,16,16
18,17,17
19,18,18
20,19,19
21,20,20
22,21,21
23,22,22
24,23,23
25,24,24
26,25,25
27,26,26
28,27,27
29,28,28
30,29,29
31,30,30
32,31,31
1,32,32
2,33,33
3,34,34
4,35,35
5,36,36
6,37,37
7,38,38
8,39,39
9,40,40
10,41,41
11,42,42
12,43,43
13,44,44
14,45,45
15,46,46
16,47,47
17,48,48
18,49,49
19,50,50
20,51,51
21,52,52
22,53,53
23,54,54
24,55,55
25,56,56
26,57,57
27,58,58
28,59,59
29,60,60
30,61,61
31,62,62
32,63,63
