## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\NORM\data\2013_10_17_29-eye_data.idf
## Date:	17.10.2013 21:18:01
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15900                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_10_17_29                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
14029278715	SMP	1	0.00	0.00	0.00	0.00	-1	
14029328609	SMP	1	0.00	0.00	0.00	0.00	-1	
14029378706	SMP	1	0.00	0.00	0.00	0.00	-1	
14029428636	SMP	1	0.00	0.00	0.00	0.00	-1	
14029478810	SMP	1	0.00	0.00	0.00	0.00	-1	
14029528790	SMP	1	0.00	0.00	0.00	0.00	-1	
14029578733	SMP	1	0.00	0.00	0.00	0.00	-1	
14029628929	SMP	1	0.00	0.00	0.00	0.00	-1	
14029678891	SMP	1	0.00	0.00	0.00	0.00	-1	
14029728881	SMP	1	0.00	0.00	0.00	0.00	-1	
14029778998	SMP	1	0.00	0.00	0.00	0.00	-1	
14029828906	SMP	1	0.00	0.00	0.00	0.00	-1	
14029878946	SMP	1	0.00	0.00	0.00	0.00	-1	
14029929036	SMP	1	0.00	0.00	0.00	0.00	-1	
14029979056	SMP	1	0.00	0.00	0.00	0.00	-1	
14030029053	SMP	1	0.00	0.00	0.00	0.00	-1	
14030079041	SMP	1	0.00	0.00	0.00	0.00	-1	
14030129207	SMP	1	0.00	0.00	0.00	0.00	-1	
14030179142	SMP	1	0.00	0.00	0.00	0.00	-1	
14030229172	SMP	1	0.00	0.00	0.00	0.00	-1	
14030279174	SMP	1	0.00	0.00	0.00	0.00	-1	
14030680252	MSG	1	# Message: Elmos World The Sky Active.avi
14030729374	SMP	1	0.00	0.00	0.00	0.00	-1	
14030779333	SMP	1	0.00	0.00	0.00	0.00	-1	
14030829586	SMP	1	0.00	0.00	0.00	0.00	-1	
14030879406	SMP	1	0.00	0.00	0.00	0.00	-1	
14030929486	SMP	1	0.00	0.00	0.00	0.00	-1	
14030979443	SMP	1	0.00	0.00	0.00	0.00	-1	
14031029516	SMP	1	0.00	0.00	0.00	0.00	-1	
14031079488	SMP	1	0.00	0.00	0.00	0.00	-1	
14031129507	SMP	1	0.00	0.00	0.00	0.00	-1	
14031179604	SMP	1	0.00	0.00	0.00	0.00	-1	
14031229700	SMP	1	0.00	0.00	0.00	0.00	-1	
14031279613	SMP	1	0.00	0.00	0.00	0.00	-1	
14031329610	SMP	1	0.00	0.00	0.00	0.00	-1	
14031379757	SMP	1	0.00	0.00	0.00	0.00	-1	
14088050324	MSG	1	# Message: Star, Spoon -- Look Spoon 2_1.avi
14088086592	SMP	1	0.00	0.00	0.00	0.00	-1	
14088135990	SMP	1	0.00	0.00	0.00	0.00	-1	
