## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\NORM\data\2013_11_1_96-eye_data.idf
## Date:	01.11.2013 18:08:50
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	21199                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_11_1_96                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
2494862028	SMP	1	583.86	226.63	583.86	226.63	-1	
2494870304	SMP	1	584.02	224.09	584.02	224.09	-1	
2494878666	SMP	1	584.35	231.88	584.35	231.88	-1	
2494887073	SMP	1	585.97	230.65	585.97	230.65	-1	
2494895402	SMP	1	585.81	236.06	585.81	236.06	-1	
2494903640	SMP	1	587.91	239.22	587.91	239.22	-1	
2494912001	SMP	1	589.06	241.28	589.06	241.28	-1	
2494920398	SMP	1	590.02	233.17	590.02	233.17	-1	
2494928746	SMP	1	591.80	238.95	591.80	238.95	-1	
2494937048	SMP	1	590.21	227.30	590.21	227.30	-1	
2494945377	SMP	1	590.52	233.55	590.52	233.55	-1	
2494953801	SMP	1	590.63	246.07	590.63	246.07	-1	
2494962025	SMP	1	586.32	243.50	586.32	243.50	-1	
2494970383	SMP	1	482.10	296.64	482.10	296.64	-1	
2494978759	SMP	1	443.67	367.76	443.67	367.76	-1	
2494987141	SMP	1	403.11	353.95	403.11	353.95	-1	
2494995358	SMP	1	409.12	342.90	409.12	342.90	-1	
2495003740	SMP	1	398.38	359.43	398.38	359.43	-1	
2495012152	SMP	1	391.82	361.60	391.82	361.60	-1	
2495020570	SMP	1	400.26	341.49	400.26	341.49	-1	
2495028788	SMP	1	398.47	358.47	398.47	358.47	-1	
2495037181	SMP	1	396.03	343.17	396.03	343.17	-1	
2495045537	SMP	1	395.25	356.38	395.25	356.38	-1	
2495053912	SMP	1	394.57	345.14	394.57	345.14	-1	
2495062165	SMP	1	391.79	346.82	391.79	346.82	-1	
