## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\NORM\data\2013_11_26_204-eye_data.idf
## Date:	26.11.2013 20:28:40
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7985                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	2013_11_26_204                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
3576644420	SMP	1	0.00	0.00	0.00	0.00	-1	
3576694666	SMP	1	0.00	0.00	0.00	0.00	-1	
3576744633	SMP	1	0.00	0.00	0.00	0.00	-1	
3576794637	SMP	1	0.00	0.00	0.00	0.00	-1	
3576844568	SMP	1	0.00	0.00	0.00	0.00	-1	
3576894615	SMP	1	0.00	0.00	0.00	0.00	-1	
3576944692	SMP	1	0.00	0.00	0.00	0.00	-1	
3576994683	SMP	1	0.00	0.00	0.00	0.00	-1	
3577044700	SMP	1	0.00	0.00	0.00	0.00	-1	
3577094720	SMP	1	0.00	0.00	0.00	0.00	-1	
3577144709	SMP	1	0.00	0.00	0.00	0.00	-1	
3577194792	SMP	1	0.00	0.00	0.00	0.00	-1	
3577244842	SMP	1	0.00	0.00	0.00	0.00	-1	
3577294850	SMP	1	0.00	0.00	0.00	0.00	-1	
3577344819	SMP	1	0.00	0.00	0.00	0.00	-1	
3577394845	SMP	1	0.00	0.00	0.00	0.00	-1	
3577444866	SMP	1	0.00	0.00	0.00	0.00	-1	
3577495097	SMP	1	0.00	0.00	0.00	0.00	-1	
3577544928	SMP	1	0.00	0.00	0.00	0.00	-1	
