## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\NORM\data\2013_11_27_225-eye_data.idf
## Date:	27.11.2013 23:35:37
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	17071                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_11_27_225                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
19136597262	SMP	1	0.00	0.00	0.00	0.00	-1	
19136647241	SMP	1	0.00	0.00	0.00	0.00	-1	
19136697361	SMP	1	0.00	0.00	0.00	0.00	-1	
19136747302	SMP	1	0.00	0.00	0.00	0.00	-1	
19136797326	SMP	1	0.00	0.00	0.00	0.00	-1	
19136847366	SMP	1	0.00	0.00	0.00	0.00	-1	
19136897466	SMP	1	0.00	0.00	0.00	0.00	-1	
19136947497	SMP	1	0.00	0.00	0.00	0.00	-1	
19136997509	SMP	1	0.00	0.00	0.00	0.00	-1	
19137047487	SMP	1	0.00	0.00	0.00	0.00	-1	
19137097492	SMP	1	0.00	0.00	0.00	0.00	-1	
19137147458	SMP	1	0.00	0.00	0.00	0.00	-1	
19137197582	SMP	1	0.00	0.00	0.00	0.00	-1	
19137247563	SMP	1	0.00	0.00	0.00	0.00	-1	
19137297559	SMP	1	0.00	0.00	0.00	0.00	-1	
19137347603	SMP	1	0.00	0.00	0.00	0.00	-1	
19137397650	SMP	1	0.00	0.00	0.00	0.00	-1	
19137447707	SMP	1	0.00	0.00	0.00	0.00	-1	
19137497804	SMP	1	0.00	0.00	0.00	0.00	-1	
