## [BeGaze]
## Converted from:	F:\ATT_WORD\2013_03_06_05-eye_data.idf
## Date:	06.03.2013 20:43:31
## Version:	BeGaze 3.2.28
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1663
## Reversed:	none
## [Run]
## Subject:	2013_03_06_05
## Description:	Run5
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
5766691709	SMP	1	682.93	455.96	682.93	455.96	elmos world the sky active.avi
5766700030	SMP	1	676.04	457.81	676.04	457.81	elmos world the sky active.avi
5766708399	SMP	1	683.70	453.12	683.70	453.12	elmos world the sky active.avi
5766716633	SMP	1	678.52	457.07	678.52	457.07	elmos world the sky active.avi
5766725061	SMP	1	680.24	453.56	680.24	453.56	elmos world the sky active.avi
5766733494	SMP	1	681.21	451.89	681.21	451.89	elmos world the sky active.avi
5766741782	SMP	1	676.33	455.58	676.33	455.58	elmos world the sky active.avi
5766749996	SMP	1	677.49	449.90	677.49	449.90	elmos world the sky active.avi
5766758436	SMP	1	677.33	457.98	677.33	457.98	elmos world the sky active.avi
5766766746	SMP	1	673.89	453.97	673.89	453.97	elmos world the sky active.avi
5766775146	SMP	1	665.72	456.55	665.72	456.55	elmos world the sky active.avi
5766783509	SMP	1	673.51	457.48	673.51	457.48	elmos world the sky active.avi
5766791799	SMP	1	674.41	457.47	674.41	457.47	elmos world the sky active.avi
5766800171	SMP	1	712.03	459.52	712.03	459.52	elmos world the sky active.avi
5766808385	SMP	1	793.59	462.47	793.59	462.47	elmos world the sky active.avi
5766816768	SMP	1	909.83	470.54	909.83	470.54	elmos world the sky active.avi
5766825162	SMP	1	1002.13	466.99	1002.13	466.99	elmos world the sky active.avi
5766833576	SMP	1	1077.78	473.71	1077.78	473.71	elmos world the sky active.avi
5766841783	SMP	1	1089.78	475.33	1089.78	475.33	elmos world the sky active.avi
5766850125	SMP	1	1084.61	473.03	1084.61	473.03	elmos world the sky active.avi
5766858530	SMP	1	1109.64	478.79	1109.64	478.79	elmos world the sky active.avi
5766866917	SMP	1	1110.20	479.63	1110.20	479.63	elmos world the sky active.avi
5766875160	SMP	1	1101.04	480.59	1101.04	480.59	elmos world the sky active.avi
5766883491	SMP	1	1102.18	482.51	1102.18	482.51	elmos world the sky active.avi
5766891894	SMP	1	1097.55	482.49	1097.55	482.49	elmos world the sky active.avi
5766900278	SMP	1	1108.20	489.76	1108.20	489.76	elmos world the sky active.avi
5766908547	SMP	1	1105.45	489.10	1105.45	489.10	elmos world the sky active.avi
5766916882	SMP	1	1112.53	488.51	1112.53	488.51	elmos world the sky active.avi
5766925305	SMP	1	1110.07	489.82	1110.07	489.82	elmos world the sky active.avi
5766933627	SMP	1	1110.90	491.75	1110.90	491.75	elmos world the sky active.avi
5766941924	SMP	1	1109.70	495.53	1109.70	495.53	elmos world the sky active.avi
5766950244	SMP	1	1112.92	496.58	1112.92	496.58	elmos world the sky active.avi
5766958668	SMP	1	1113.31	497.64	1113.31	497.64	elmos world the sky active.avi
5766966901	SMP	1	1112.97	500.11	1112.97	500.11	elmos world the sky active.avi
5766975259	SMP	1	1115.47	501.18	1115.47	501.18	elmos world the sky active.avi
5766983658	SMP	1	1114.80	502.08	1114.80	502.08	elmos world the sky active.avi
5766992075	SMP	1	1115.46	502.91	1115.46	502.91	elmos world the sky active.avi
5767000291	SMP	1	1119.02	502.80	1119.02	502.80	elmos world the sky active.avi
5767008684	SMP	1	1116.00	504.89	1116.00	504.89	elmos world the sky active.avi
5767017021	SMP	1	1116.51	503.52	1116.51	503.52	elmos world the sky active.avi
5767025385	SMP	1	1116.31	502.22	1116.31	502.22	elmos world the sky active.avi
5767050485	SMP	1	1053.70	557.22	1053.70	557.22	elmos world the sky active.avi
5767058801	SMP	1	882.10	714.19	882.10	714.19	elmos world the sky active.avi
5767067031	SMP	1	798.64	734.02	798.64	734.02	elmos world the sky active.avi
5767075424	SMP	1	678.23	833.45	678.23	833.45	elmos world the sky active.avi
5767083772	SMP	1	569.99	926.69	569.99	926.69	elmos world the sky active.avi
5767092039	SMP	1	508.26	930.15	508.26	930.15	elmos world the sky active.avi
5767100420	SMP	1	536.30	915.97	536.30	915.97	elmos world the sky active.avi
5767108721	SMP	1	517.10	928.88	517.10	928.88	elmos world the sky active.avi
5767117145	SMP	1	517.59	920.16	517.59	920.16	elmos world the sky active.avi
5767125378	SMP	1	521.23	919.34	521.23	919.34	elmos world the sky active.avi
5767133780	SMP	1	515.90	904.32	515.90	904.32	elmos world the sky active.avi
5767142141	SMP	1	518.84	916.76	518.84	916.76	elmos world the sky active.avi
5767150523	SMP	1	514.34	917.65	514.34	917.65	elmos world the sky active.avi
5767158756	SMP	1	511.26	920.82	511.26	920.82	elmos world the sky active.avi
5767167144	SMP	1	509.55	919.16	509.55	919.16	elmos world the sky active.avi
5767175497	SMP	1	508.93	916.92	508.93	916.92	elmos world the sky active.avi
5767183882	SMP	1	511.32	910.41	511.32	910.41	elmos world the sky active.avi
5767192566	SMP	1	508.03	913.83	508.03	913.83	elmos world the sky active.avi
5767200804	SMP	1	506.73	905.96	506.73	905.96	elmos world the sky active.avi
5767208899	SMP	1	505.66	910.43	505.66	910.43	elmos world the sky active.avi
5767217152	SMP	1	503.35	911.43	503.35	911.43	elmos world the sky active.avi
5767225611	SMP	1	504.43	912.75	504.43	912.75	elmos world the sky active.avi
