## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\v2\2013_06_14_8-eye_data.idf
## Date:	14.06.2013 22:19:37
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	19391                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_06_14_8                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
2560640392	SMP	1	0.00	0.00	0.00	0.00	-1	
2560690477	SMP	1	0.00	0.00	0.00	0.00	-1	
2560740536	SMP	1	0.00	0.00	0.00	0.00	-1	
2560790582	SMP	1	0.00	0.00	0.00	0.00	-1	
2560840554	SMP	1	0.00	0.00	0.00	0.00	-1	
2560890588	SMP	1	0.00	0.00	0.00	0.00	-1	
2560940563	SMP	1	0.00	0.00	0.00	0.00	-1	
2560990727	SMP	1	0.00	0.00	0.00	0.00	-1	
2561040733	SMP	1	0.00	0.00	0.00	0.00	-1	
2561090670	SMP	1	0.00	0.00	0.00	0.00	-1	
2561140630	SMP	1	0.00	0.00	0.00	0.00	-1	
2561190681	SMP	1	0.00	0.00	0.00	0.00	-1	
2561240825	SMP	1	0.00	0.00	0.00	0.00	-1	
2561290839	SMP	1	0.00	0.00	0.00	0.00	-1	
2561340821	SMP	1	0.00	0.00	0.00	0.00	-1	
2561390843	SMP	1	0.00	0.00	0.00	0.00	-1	
2561440803	SMP	1	0.00	0.00	0.00	0.00	-1	
2561491096	SMP	1	0.00	0.00	0.00	0.00	-1	
2561540927	SMP	1	0.00	0.00	0.00	0.00	-1	
