## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\v2\2013_06_15_19-eye_data.idf
## Date:	15.06.2013 21:38:32
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15510                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_06_15_19                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
12400863044	SMP	1	0.00	0.00	0.00	0.00	-1	
12400913254	SMP	1	0.00	0.00	0.00	0.00	-1	
12400963239	SMP	1	0.00	0.00	0.00	0.00	-1	
12401013218	SMP	1	0.00	0.00	0.00	0.00	-1	
12401063242	SMP	1	0.00	0.00	0.00	0.00	-1	
12401113416	SMP	1	0.00	0.00	0.00	0.00	-1	
12401163289	SMP	1	0.00	0.00	0.00	0.00	-1	
12401213381	SMP	1	0.00	0.00	0.00	0.00	-1	
12401263305	SMP	1	0.00	0.00	0.00	0.00	-1	
12401313449	SMP	1	0.00	0.00	0.00	0.00	-1	
12401363607	SMP	1	0.00	0.00	0.00	0.00	-1	
12401413483	SMP	1	0.00	0.00	0.00	0.00	-1	
12401463502	SMP	1	0.00	0.00	0.00	0.00	-1	
12401513477	SMP	1	0.00	0.00	0.00	0.00	-1	
12401563491	SMP	1	0.00	0.00	0.00	0.00	-1	
12401613589	SMP	1	0.00	0.00	0.00	0.00	-1	
12401663655	SMP	1	0.00	0.00	0.00	0.00	-1	
12401713788	SMP	1	0.00	0.00	0.00	0.00	-1	
12401763592	SMP	1	0.00	0.00	0.00	0.00	-1	
12401813615	SMP	1	0.00	0.00	0.00	0.00	-1	
12401863698	SMP	1	0.00	0.00	0.00	0.00	-1	
12402251343	MSG	1	# Message: Elmos World The Sky Active.avi
12402263930	SMP	1	0.00	0.00	0.00	0.00	-1	
12402313930	SMP	1	0.00	0.00	0.00	0.00	-1	
12402364030	SMP	1	0.00	0.00	0.00	0.00	-1	
12402414103	SMP	1	0.00	0.00	0.00	0.00	-1	
12402463929	SMP	1	0.00	0.00	0.00	0.00	-1	
12402514026	SMP	1	0.00	0.00	0.00	0.00	-1	
12402563951	SMP	1	0.00	0.00	0.00	0.00	-1	
12402614070	SMP	1	0.00	0.00	0.00	0.00	-1	
12402664167	SMP	1	0.00	0.00	0.00	0.00	-1	
12402714226	SMP	1	0.00	0.00	0.00	0.00	-1	
12402764105	SMP	1	0.00	0.00	0.00	0.00	-1	
12402814291	SMP	1	0.00	0.00	0.00	0.00	-1	
12402864125	SMP	1	0.00	0.00	0.00	0.00	-1	
12402914221	SMP	1	0.00	0.00	0.00	0.00	-1	
12402964306	SMP	1	0.00	0.00	0.00	0.00	-1	
12403014296	SMP	1	0.00	0.00	0.00	0.00	-1	
12403064173	SMP	1	0.00	0.00	0.00	0.00	-1	
12403114438	SMP	1	0.00	0.00	0.00	0.00	-1	
12403164337	SMP	1	0.00	0.00	0.00	0.00	-1	
12403214477	SMP	1	0.00	0.00	0.00	0.00	-1	
12403264465	SMP	1	0.00	0.00	0.00	0.00	-1	
12403314496	SMP	1	0.00	0.00	0.00	0.00	-1	
12403364430	SMP	1	0.00	0.00	0.00	0.00	-1	
12403414669	SMP	1	0.00	0.00	0.00	0.00	-1	
12403464447	SMP	1	0.00	0.00	0.00	0.00	-1	
12403514432	SMP	1	0.00	0.00	0.00	0.00	-1	
12403564428	SMP	1	0.00	0.00	0.00	0.00	-1	
12403614552	SMP	1	0.00	0.00	0.00	0.00	-1	
12403664500	SMP	1	0.00	0.00	0.00	0.00	-1	
12403714526	SMP	1	0.00	0.00	0.00	0.00	-1	
12403764533	SMP	1	0.00	0.00	0.00	0.00	-1	
12403814776	SMP	1	0.00	0.00	0.00	0.00	-1	
12403864684	SMP	1	0.00	0.00	0.00	0.00	-1	
12403914698	SMP	1	0.00	0.00	0.00	0.00	-1	
12403964710	SMP	1	0.00	0.00	0.00	0.00	-1	
12404014756	SMP	1	0.00	0.00	0.00	0.00	-1	
12404064685	SMP	1	0.00	0.00	0.00	0.00	-1	
12404114920	SMP	1	0.00	0.00	0.00	0.00	-1	
12404164843	SMP	1	0.00	0.00	0.00	0.00	-1	
12404214989	SMP	1	0.00	0.00	0.00	0.00	-1	
12404264925	SMP	1	0.00	0.00	0.00	0.00	-1	
12404314810	SMP	1	0.00	0.00	0.00	0.00	-1	
12404364923	SMP	1	0.00	0.00	0.00	0.00	-1	
12404415022	SMP	1	0.00	0.00	0.00	0.00	-1	
12404465039	SMP	1	0.00	0.00	0.00	0.00	-1	
12404515050	SMP	1	0.00	0.00	0.00	0.00	-1	
12404565056	SMP	1	0.00	0.00	0.00	0.00	-1	
12404615082	SMP	1	0.00	0.00	0.00	0.00	-1	
12404665064	SMP	1	0.00	0.00	0.00	0.00	-1	
12404715049	SMP	1	0.00	0.00	0.00	0.00	-1	
12404765106	SMP	1	0.00	0.00	0.00	0.00	-1	
12404815240	SMP	1	0.00	0.00	0.00	0.00	-1	
12404865192	SMP	1	0.00	0.00	0.00	0.00	-1	
12404915488	SMP	1	0.00	0.00	0.00	0.00	-1	
12404965201	SMP	1	0.00	0.00	0.00	0.00	-1	
12405015238	SMP	1	0.00	0.00	0.00	0.00	-1	
12405065222	SMP	1	0.00	0.00	0.00	0.00	-1	
12405115622	SMP	1	0.00	0.00	0.00	0.00	-1	
12405165295	SMP	1	0.00	0.00	0.00	0.00	-1	
12405215317	SMP	1	0.00	0.00	0.00	0.00	-1	
12405265309	SMP	1	0.00	0.00	0.00	0.00	-1	
12405315489	SMP	1	0.00	0.00	0.00	0.00	-1	
12405365431	SMP	1	0.00	0.00	0.00	0.00	-1	
12405415472	SMP	1	0.00	0.00	0.00	0.00	-1	
12405465394	SMP	1	0.00	0.00	0.00	0.00	-1	
12405515439	SMP	1	0.00	0.00	0.00	0.00	-1	
12405565486	SMP	1	0.00	0.00	0.00	0.00	-1	
12405615524	SMP	1	0.00	0.00	0.00	0.00	-1	
12405665484	SMP	1	0.00	0.00	0.00	0.00	-1	
12405715509	SMP	1	0.00	0.00	0.00	0.00	-1	
12405765530	SMP	1	0.00	0.00	0.00	0.00	-1	
12405815606	SMP	1	0.00	0.00	0.00	0.00	-1	
12405865601	SMP	1	0.00	0.00	0.00	0.00	-1	
12405915618	SMP	1	0.00	0.00	0.00	0.00	-1	
12405965572	SMP	1	0.00	0.00	0.00	0.00	-1	
12406015696	SMP	1	0.00	0.00	0.00	0.00	-1	
12406065768	SMP	1	0.00	0.00	0.00	0.00	-1	
12406115776	SMP	1	0.00	0.00	0.00	0.00	-1	
12406165781	SMP	1	0.00	0.00	0.00	0.00	-1	
12406215777	SMP	1	0.00	0.00	0.00	0.00	-1	
12406265781	SMP	1	0.00	0.00	0.00	0.00	-1	
