## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\data\2013_07_17_159-eye_data.idf
## Date:	17.07.2013 19:41:25
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	20955                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_07_17_159                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
4341994320	SMP	1	0.00	0.00	0.00	0.00	-1	
4342044461	SMP	1	0.00	0.00	0.00	0.00	-1	
4342094463	SMP	1	0.00	0.00	0.00	0.00	-1	
4342144433	SMP	1	0.00	0.00	0.00	0.00	-1	
4342194410	SMP	1	0.00	0.00	0.00	0.00	-1	
4342244489	SMP	1	0.00	0.00	0.00	0.00	-1	
4342294519	SMP	1	0.00	0.00	0.00	0.00	-1	
4342344550	SMP	1	0.00	0.00	0.00	0.00	-1	
4342394576	SMP	1	0.00	0.00	0.00	0.00	-1	
4342444633	SMP	1	0.00	0.00	0.00	0.00	-1	
4342494641	SMP	1	0.00	0.00	0.00	0.00	-1	
4342544594	SMP	1	0.00	0.00	0.00	0.00	-1	
4342594702	SMP	1	0.00	0.00	0.00	0.00	-1	
4342644709	SMP	1	0.00	0.00	0.00	0.00	-1	
4342694737	SMP	1	0.00	0.00	0.00	0.00	-1	
4342744786	SMP	1	0.00	0.00	0.00	0.00	-1	
4342794733	SMP	1	0.00	0.00	0.00	0.00	-1	
4342844945	SMP	1	0.00	0.00	0.00	0.00	-1	
4342894797	SMP	1	0.00	0.00	0.00	0.00	-1	
4342944897	SMP	1	0.00	0.00	0.00	0.00	-1	
4342994847	SMP	1	0.00	0.00	0.00	0.00	-1	
4343044860	SMP	1	0.00	0.00	0.00	0.00	-1	
4343094956	SMP	1	0.00	0.00	0.00	0.00	-1	
4343144998	SMP	1	0.00	0.00	0.00	0.00	-1	
4343492548	MSG	1	# Message: Elmos World The Sky Active.avi
4343495093	SMP	1	0.00	0.00	0.00	0.00	-1	
4343545041	SMP	1	0.00	0.00	0.00	0.00	-1	
4343595245	SMP	1	0.00	0.00	0.00	0.00	-1	
4343645162	SMP	1	0.00	0.00	0.00	0.00	-1	
4343695674	SMP	1	0.00	0.00	0.00	0.00	-1	
4343745172	SMP	1	0.00	0.00	0.00	0.00	-1	
4343795743	SMP	1	0.00	0.00	0.00	0.00	-1	
4343845414	SMP	1	0.00	0.00	0.00	0.00	-1	
4343896026	SMP	1	0.00	0.00	0.00	0.00	-1	
4343945298	SMP	1	0.00	0.00	0.00	0.00	-1	
4343995769	SMP	1	0.00	0.00	0.00	0.00	-1	
4344045334	SMP	1	0.00	0.00	0.00	0.00	-1	
4344095440	SMP	1	0.00	0.00	0.00	0.00	-1	
4344145397	SMP	1	0.00	0.00	0.00	0.00	-1	
4344195888	SMP	1	0.00	0.00	0.00	0.00	-1	
4344245520	SMP	1	0.00	0.00	0.00	0.00	-1	
4344295606	SMP	1	0.00	0.00	0.00	0.00	-1	
4344345613	SMP	1	0.00	0.00	0.00	0.00	-1	
4344396148	SMP	1	0.00	0.00	0.00	0.00	-1	
4344445539	SMP	1	0.00	0.00	0.00	0.00	-1	
4344495644	SMP	1	0.00	0.00	0.00	0.00	-1	
4344545634	SMP	1	0.00	0.00	0.00	0.00	-1	
4344596244	SMP	1	0.00	0.00	0.00	0.00	-1	
4344645663	SMP	1	0.00	0.00	0.00	0.00	-1	
4344695894	SMP	1	0.00	0.00	0.00	0.00	-1	
4344745682	SMP	1	0.00	0.00	0.00	0.00	-1	
4344795728	SMP	1	0.00	0.00	0.00	0.00	-1	
4344845752	SMP	1	0.00	0.00	0.00	0.00	-1	
4344896154	SMP	1	0.00	0.00	0.00	0.00	-1	
4344945812	SMP	1	0.00	0.00	0.00	0.00	-1	
4344995987	SMP	1	0.00	0.00	0.00	0.00	-1	
4345045868	SMP	1	0.00	0.00	0.00	0.00	-1	
4345095946	SMP	1	0.00	0.00	0.00	0.00	-1	
4345145919	SMP	1	0.00	0.00	0.00	0.00	-1	
4345195996	SMP	1	0.00	0.00	0.00	0.00	-1	
4345245850	SMP	1	0.00	0.00	0.00	0.00	-1	
4345296479	SMP	1	0.00	0.00	0.00	0.00	-1	
4345346125	SMP	1	0.00	0.00	0.00	0.00	-1	
4345396606	SMP	1	0.00	0.00	0.00	0.00	-1	
4345446097	SMP	1	0.00	0.00	0.00	0.00	-1	
4345496078	SMP	1	0.00	0.00	0.00	0.00	-1	
4345546144	SMP	1	0.00	0.00	0.00	0.00	-1	
4345596205	SMP	1	0.00	0.00	0.00	0.00	-1	
4345646115	SMP	1	0.00	0.00	0.00	0.00	-1	
4345696134	SMP	1	0.00	0.00	0.00	0.00	-1	
4345746119	SMP	1	0.00	0.00	0.00	0.00	-1	
4345796802	SMP	1	0.00	0.00	0.00	0.00	-1	
4345846278	SMP	1	0.00	0.00	0.00	0.00	-1	
4345896890	SMP	1	0.00	0.00	0.00	0.00	-1	
4345946237	SMP	1	0.00	0.00	0.00	0.00	-1	
4345996264	SMP	1	0.00	0.00	0.00	0.00	-1	
4346046372	SMP	1	0.00	0.00	0.00	0.00	-1	
4346096820	SMP	1	0.00	0.00	0.00	0.00	-1	
4346146352	SMP	1	0.00	0.00	0.00	0.00	-1	
4346196390	SMP	1	0.00	0.00	0.00	0.00	-1	
4346246373	SMP	1	0.00	0.00	0.00	0.00	-1	
4346296460	SMP	1	0.00	0.00	0.00	0.00	-1	
4346346590	SMP	1	0.00	0.00	0.00	0.00	-1	
4346396471	SMP	1	0.00	0.00	0.00	0.00	-1	
4346446507	SMP	1	0.00	0.00	0.00	0.00	-1	
4346496622	SMP	1	0.00	0.00	0.00	0.00	-1	
4346546711	SMP	1	0.00	0.00	0.00	0.00	-1	
4346597013	SMP	1	0.00	0.00	0.00	0.00	-1	
4346646600	SMP	1	0.00	0.00	0.00	0.00	-1	
4346696673	SMP	1	0.00	0.00	0.00	0.00	-1	
4346746649	SMP	1	0.00	0.00	0.00	0.00	-1	
4346796724	SMP	1	0.00	0.00	0.00	0.00	-1	
4346847247	SMP	1	0.00	0.00	0.00	0.00	-1	
4346896737	SMP	1	0.00	0.00	0.00	0.00	-1	
4346946767	SMP	1	0.00	0.00	0.00	0.00	-1	
4346996880	SMP	1	0.00	0.00	0.00	0.00	-1	
4347046834	SMP	1	0.00	0.00	0.00	0.00	-1	
4347096821	SMP	1	0.00	0.00	0.00	0.00	-1	
4347146882	SMP	1	0.00	0.00	0.00	0.00	-1	
4347197417	SMP	1	0.00	0.00	0.00	0.00	-1	
4347246906	SMP	1	0.00	0.00	0.00	0.00	-1	
4347297475	SMP	1	0.00	0.00	0.00	0.00	-1	
4347347019	SMP	1	0.00	0.00	0.00	0.00	-1	
4347397517	SMP	1	0.00	0.00	0.00	0.00	-1	
4347446945	SMP	1	0.00	0.00	0.00	0.00	-1	
4347497628	SMP	1	0.00	0.00	0.00	0.00	-1	
