## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\v4\2013_07_24_203-eye_data.idf
## Date:	24.07.2013 22:17:49
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	16821                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_07_24_203                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
13505963966	SMP	1	0.00	0.00	0.00	0.00	-1	
13506013987	SMP	1	0.00	0.00	0.00	0.00	-1	
13506064046	SMP	1	0.00	0.00	0.00	0.00	-1	
13506113925	SMP	1	0.00	0.00	0.00	0.00	-1	
13506163948	SMP	1	0.00	0.00	0.00	0.00	-1	
13506214101	SMP	1	0.00	0.00	0.00	0.00	-1	
13506264043	SMP	1	0.00	0.00	0.00	0.00	-1	
13506314108	SMP	1	0.00	0.00	0.00	0.00	-1	
13506364146	SMP	1	0.00	0.00	0.00	0.00	-1	
13506414241	SMP	1	0.00	0.00	0.00	0.00	-1	
13506464194	SMP	1	0.00	0.00	0.00	0.00	-1	
13506514207	SMP	1	0.00	0.00	0.00	0.00	-1	
13506564233	SMP	1	0.00	0.00	0.00	0.00	-1	
13506614238	SMP	1	0.00	0.00	0.00	0.00	-1	
13506664254	SMP	1	0.00	0.00	0.00	0.00	-1	
13506714346	SMP	1	0.00	0.00	0.00	0.00	-1	
13506764389	SMP	1	0.00	0.00	0.00	0.00	-1	
13506814380	SMP	1	0.00	0.00	0.00	0.00	-1	
13506864294	SMP	1	0.00	0.00	0.00	0.00	-1	
13506914348	SMP	1	0.00	0.00	0.00	0.00	-1	
13506964458	SMP	1	0.00	0.00	0.00	0.00	-1	
13507361245	MSG	1	# Message: Elmos World The Sky Active.avi
13507364557	SMP	1	0.00	0.00	0.00	0.00	-1	
13507414647	SMP	1	0.00	0.00	0.00	0.00	-1	
13507464769	SMP	1	0.00	0.00	0.00	0.00	-1	
13507514938	SMP	1	0.00	0.00	0.00	0.00	-1	
