Type	Name		Target	Trial Type	Target Screen Side
Image	book_dog.jpg		dog	easy	2
Image	lamp_clock.jpg		clock	hard	2
Movie	"Skwish, Balls -- Look Skwish 2_1.avi"		skwish	train	1
Movie	ball-calibration.avi				
Image	rowboat.jpg				
Image	car_banana.jpg		car	easy	1
Image	frog_carrot.jpg		carrot	hard	2
Movie	"Balls, Skwish -- Look Skwish 3_2.avi"		skwish	train	2
Image	Cats.jpg				
Image	dog_book.jpg		book	easy	1
Image	clock_lamp.jpg		lamp	hard	2
Movie	"Balls, Skwish -- Look Skwish 1_3.avi"		skwish	train	2
Movie	ball-calibration.avi				
Image	hungrybaby.jpg				
Image	banana_car.jpg		banana	easy	1
Image	carrot_frog.jpg		frog	hard	2
Movie	"Skwish, Balls -- Look Skwish 1_4.avi"		skwish	train	1
Image	balls_skwish.jpg		modi	new	2
Image	book_dog.jpg		dog	easy	2
Image	balls_skwish.jpg		dax	me	1
Image	lamp_clock.jpg		lamp	hard	1
Image	skwish_balls.jpg		modi	new	1
Movie	Faces_Plus_1.avi				
Image	skwish_balls.jpg		modi	new	1
Image	banana_car.jpg		banana	easy	1
Image	balls_skwish.jpg		dax	me	1
Image	frog_carrot.jpg		carrot	hard	2
Image	skwish_balls.jpg		dax	me	2
Movie	Faces_Plus_2.avi				
Image	skwish_balls.jpg		modi	new	1
Image	dog_book.jpg		dog	easy	1
Image	balls_skwish.jpg		dax	me	1
Image	clock_lamp.jpg		clock	hard	1
Image	balls_skwish.jpg		modi	new	1
Movie	Faces_Plus_3.avi				
Image	balls_skwish.jpg		modi	new	2
Image	car_banana.jpg		banana	easy	2
Image	skwish_balls.jpg		dax	me	2
Image	carrot_frog.jpg		carrot	hard	1
Image	skwish_balls.jpg		dax	me	2
Image	elmo_slide.jpg				
