subject_id,lab_subject_id,sex,native_language,subject_aux_data
0,C1,female,eng,NA
1,C11,female,eng,NA
2,C12,male,eng,NA
3,C15,female,eng,NA
4,C16,male,eng,NA
5,C17,female,eng,NA
6,C18,female,eng,NA
7,C2,female,eng,NA
8,C21,female,eng,NA
9,C22,male,eng,NA
10,C24,male,eng,NA
11,C25,female,eng,NA
12,C26,female,eng,NA
13,C27,male,eng,NA
14,C28,female,eng,NA
15,C29,male,eng,NA
16,C3,female,eng,NA
17,C31,male,eng,NA
18,C33,male,eng,NA
19,C35,female,eng,NA
20,C36,female,eng,NA
21,C37,female,eng,NA
22,C38,female,eng,NA
23,C4,male,eng,NA
24,C41,male,eng,NA
25,C42,male,eng,NA
26,C45,male,eng,NA
27,C7,male,eng,NA
28,C9,male,eng,NA
29,L1,female,eng,NA
30,L11,female,eng,NA
31,L12,male,eng,NA
32,L13,male,eng,NA
33,L14,female,eng,NA
34,L16,female,eng,NA
35,L18,female,eng,NA
36,L20,female,eng,NA
37,L21,male,eng,NA
38,L22,male,eng,NA
39,L25,male,eng,NA
40,L27,female,eng,NA
41,L3,male,eng,NA
42,L30,female,eng,NA
43,L32,female,eng,NA
44,L33,male,eng,NA
45,L34,male,eng,NA
46,L36,female,eng,NA
47,L38,male,eng,NA
48,L4,male,eng,NA
49,L41,female,eng,NA
50,L42,female,eng,NA
51,L43,male,eng,NA
52,L45,female,eng,NA
53,L46,male,eng,NA
54,L48,female,eng,NA
55,L49,male,eng,NA
56,L5,male,eng,NA
57,L50,male,eng,NA
58,L51,female,eng,NA
59,L54,female,eng,NA
60,L56,male,eng,NA
61,L57,male,eng,NA
62,L58,female,eng,NA
63,L63,female,eng,NA
64,L64,female,eng,NA
65,L8,female,eng,NA
66,S1,male,eng,NA
67,S10,female,eng,NA
68,S12,female,eng,NA
69,S15,female,eng,NA
70,S16,male,eng,NA
71,S19,female,eng,NA
72,S2,male,eng,NA
73,S22,female,eng,NA
74,S24,female,eng,NA
75,S27,female,eng,NA
76,S28,female,eng,NA
77,S30,female,eng,NA
78,S32,male,eng,NA
79,S33,male,eng,NA
80,S34,male,eng,NA
81,S35,female,eng,NA
82,S36,male,eng,NA
83,S37,female,eng,NA
84,S39,female,eng,NA
85,S40,male,eng,NA
86,S41,male,eng,NA
87,S42,male,eng,NA
88,S43,male,eng,NA
89,S46,female,eng,NA
90,S48,male,eng,NA
91,S49,female,eng,NA
92,S5,female,eng,NA
93,S54,male,eng,NA
94,S55,female,eng,NA
95,S56,male,eng,NA
96,S57,female,eng,NA
97,S7,female,eng,NA
98,S8,male,eng,NA
99,S9,male,eng,NA
