target_side,vanilla_trial,condition,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,trial_type_aux_data
left,TRUE,Colors_familiar,0,6,Shoe Wheresthe_ Shoe,0,0,Colors_familiar-Shoe-Kitty,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,1,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,2,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,3,5,Dog Canyoufindthe_ Dog,3,0,Colors_familiar-Dog-Car,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,4,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,4,3,Baby Canyoufindthe_ Baby,5,0,Colors_familiar-Baby-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,6,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,5,3,Car Canyoufindthe_ Car,7,0,Colors_familiar-Car-Dog,NA,0,eng,NA
right,TRUE,Colors_familiar,6,4,Kitty Canyoufindthe_ Kitty,8,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,9,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,8,3,Ball Wheresthe_ Ball,10,0,Colors_familiar-Ball-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,11,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,3,5,Dog Wheresthe_ Dog,12,0,Colors_familiar-Dog-Car,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,13,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,5,0,Car Canyoufindthe_ Car,14,0,Colors_familiar-Car-Shoe,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,15,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,8,5,Ball Canyoufindthe_ Ball,16,0,Colors_familiar-Ball-Car,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,17,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,18,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,0,4,Shoe Wheresthe_ Shoe,19,0,Colors_familiar-Shoe-Baby,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,20,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,3,0,Dog Canyoufindthe_ Dog,21,0,Colors_familiar-Dog-Shoe,NA,0,eng,NA
left,TRUE,Colors_familiar,6,0,Kitty Canyoufindthe_ Kitty,22,0,Colors_familiar-Kitty-Shoe,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,23,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,6,4,Kitty Canyoufindthe_ Kitty,24,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
right,TRUE,Colors_familiar,0,5,Shoe Wheresthe_ Shoe,25,0,Colors_familiar-Shoe-Car,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,26,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,27,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,5,0,Car Canyoufindthe_ Car,28,0,Colors_familiar-Car-Shoe,NA,0,eng,NA
right,TRUE,Colors_familiar,3,4,Dog Canyoufindthe_ Dog,29,0,Colors_familiar-Dog-Baby,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,30,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,0,4,Shoe Canyoufindthe_ Shoe,31,0,Colors_familiar-Shoe-Baby,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,32,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,33,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,3,5,Dog Wheresthe_ Dog,34,0,Colors_familiar-Dog-Car,NA,0,eng,NA
left,TRUE,Colors_familiar,8,3,Ball Canyoufindthe_ Ball,35,0,Colors_familiar-Ball-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,36,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,6,0,Kitty Canyoufindthe_ Kitty,37,0,Colors_familiar-Kitty-Shoe,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,38,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,0,6,Shoe Canyoufindthe_ Shoe,39,0,Colors_familiar-Shoe-Kitty,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,40,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,41,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,4,6,Baby Wheresthe_ Baby,42,0,Colors_familiar-Baby-Kitty,NA,0,eng,NA
left,TRUE,Colors_familiar,6,8,Kitty Canyoufindthe_ Kitty,43,0,Colors_familiar-Kitty-Ball,NA,0,eng,NA
right,TRUE,Colors_familiar,8,6,Ball Canyoufindthe_ Ball,44,0,Colors_familiar-Ball-Kitty,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,45,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,3,5,Dog Canyoufindthe_ Dog,46,0,Colors_familiar-Dog-Car,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,47,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,6,4,Kitty Wheresthe_ Kitty,48,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,49,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,8,0,Ball Wheresthe_ Ball,50,0,Colors_familiar-Ball-Shoe,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,51,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,52,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,4,6,Baby Canyoufindthe_ Baby,53,0,Colors_familiar-Baby-Kitty,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,54,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,0,4,Shoe Wheresthe_ Shoe,55,0,Colors_familiar-Shoe-Baby,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,56,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,57,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,6,0,Kitty Wheresthe_ Kitty,58,0,Colors_familiar-Kitty-Shoe,NA,0,eng,NA
left,TRUE,Colors_familiar,5,3,Car Canyoufindthe_ Car,59,0,Colors_familiar-Car-Dog,NA,0,eng,NA
left,TRUE,Colors_familiar,8,0,Ball Wheresthe_ Ball,60,0,Colors_familiar-Ball-Shoe,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,61,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,5,3,Car Wheresthe_ Car,62,0,Colors_familiar-Car-Dog,NA,0,eng,NA
