name	TrialOnset	trial number	sound stimulus	left image	center image	right image	target side	condition	used	TrStart	PictOn	SoundOn	TrEnd	CritOnset	CritOffset
TL2-30A	Sound	1	There's a monkey. Do you like it? 	bunny		monkey	R	filler	no						
TL2-30A	Sound	2	Which one do you eat? Can you find it?	ice cream		clock	L	vcompEat	yes	0	0	0	4500	1120	2920
TL2-30A	Sound	3	Which one do you drive? Do you see it?	balloon		truck	R	vcompDrive	yes	0	0	0	4500	1115	2915
TL2-30A	Sound	4	Take the book.  Do you like it?	juice1		book1	R	UR-primeNoun	yes	0	0	0	4500	852	2652
TL2-30A	Sound	4	Take the book.  Do you like it?	juice1		book1	R	UR-primeVerb	yes	0	0	0	4500	0	1800
TL2-30A	Sound	5	Can you find the big flower?  Check that out!	flowerbig		flowerlittle	L	AbsSizeBig	yes	0	0	0	4500	1029	2829
TL2-30A	Sound	6	Give me the juice.  Can you see it?	book2		juice2	R	UR-primeNoun	yes	0	0	0	4500	835	2635
TL2-30A	Sound	6	Give me the juice.  Can you see it?	book2		juice2	R	UR-primeVerb	yes	0	0	0	4500	0	1800
TL2-30A	Sound	7	You can drive the tempo. Drive the tempo.	tempo yl		massager or	L	TempoExp1	yes	0	0	0	4500	512	2312
TL2-30A	Sound	8	Where's the tempo?  Check that out!	massager or		tempo yl	R	TempoImTest1	yes	0	0	0	4500	573	2373
TL2-30A	Sound	9	Where's the doggie?  Can you find it?	doggie1		baby1	L	familiar	yes	0	0	0	4500	612	2412
TL2-30A	Sound	10	You can eat the manju. Eat the manju.	fan bl		manju gr	R	ManjuExp1	yes	0	0	0	4500	520	2320
TL2-30A	Sound	11	Where's the manju.  Do you see it?	manju gr		fan bl	L	ManjuImTest1	yes	0	0	0	4500	579	2379
TL2-30A	Sound	12	Where's the baby?  Can you see it?	baby2		doggie2	L	familiar	yes	0	0	0	4500	613	2413
TL2-30A	Sound	13	You can drive the tempo. Drive the tempo.	massager or		tempo yl	R	TempoExp2	yes	0	0	0	4500	512	2312
TL2-30A	Sound	14	Read the book.  Do you like it?	juice2		book2	R	R-prime	yes	0	0	0	4500	850	2650
TL2-30A	Sound	14	Read the book.  Do you like it?	juice2		book2	R	R-primeVerb	yes	0	0	0	4500	0	2650
TL2-30A	Sound	15	You can eat the manju. Eat the manju.	manju gr		fan bl	L	ManjuExp2	yes	0	0	0	4500	520	2320
TL2-30A	Sound	16	Drink the juice.  Can you find it?	juice1		book1	L	R-prime	yes	0	0	0	4500	835	2635
TL2-30A	Sound	16	Drink the juice.  Can you find it?	juice1		book1	L	R-primeVerb	yes	0	0	0	4500	0	2635
TL2-30A	Sound	17	You can drive the tempo. Drive the tempo.	massager yl		tempo gr	R	TempoExp3	yes	0	0	0	4500	512	2312
TL2-30A	Sound	18	Take the book.  Do you like it?	book3		juice3	L	UR-primeNoun	yes	0	0	0	4500	852	2652
TL2-30A	Sound	18	Take the book.  Do you like it?	book3		juice3	L	UR-primeVerb	yes	0	0	0	4500	0	1800
TL2-30A	Sound	19	Can you find the little flower?  Check that out!	flowerbig		flowerlittle	R	AbsSizeLittle	yes	0	0	0	4500	1005	2805
TL2-30A	Sound	20	You can eat the manju. Eat the manju. 	manju wh		fan pr	L	ManjuExp3	yes	0	0	0	4500	520	2320
TL2-30A	Sound	21	Drink the juice.  Can you find it?	book2		juice2	R	R-prime	yes	0	0	0	4500	835	2635
TL2-30A	Sound	21	Drink the juice.  Can you find it?	book2		juice2	R	R-primeVerb	yes	0	0	0	4500	0	2635
TL2-30A	Sound	22	Which one's the red house?  Check that out!	housered		houseblue	L	SO-ColorRed	yes	0	0	0	4500	1006	2806
TL2-30A	Sound	23	You can drive the tempo. Drive the tempo.	tempo gr		massager yl	L	TempoExp4	yes	0	0	0	4500	512	2312
TL2-30A	Sound	24	Read the book.  Do you like it?	juice1		book1	R	R-prime	yes	0	0	0	4500	850	2650
TL2-30A	Sound	25	You can eat the manju. Eat the manju. 	fan pr		manju wh	R	ManjuExp4	yes	0	0	0	4500	520	2320
TL2-30A	Sound	26	"Hey, look at that!  That's cool!"	ocean		butterflies	N	filler	no	0	0	0	4500		
TL2-30A	Sound	27	Where's the tempo? Can you find it?	tempo yl		manju gr	L	TempoTest2	yes	0	0	0	4500	573	2373
TL2-30A	Sound	28	Give me the juice.  Can you see it?	book3		juice3	R	UR-primeNoun	yes	0	0	0	4500	835	2635
TL2-30A	Sound	28	Give me the juice.  Can you see it?	book3		juice3	R	UR-primeVerb	yes	0	0	0	4500	0	1800
TL2-30A	Sound	29	Where's the manju? Do you see it?	tempo yl		manju gr	R	ManjuTest2	yes	0	0	0	4500	579	2379
TL2-30A	Sound	30	Read the book.  Do you like it?	book3		juice3	L	R-prime	yes	0	0	0	4500	850	2650
TL2-30A	Sound	30	Read the book.  Do you like it?	book3		juice3	L	R-primeVerb	yes	0	0	0	4500	0	2650
TL2-30A	Sound	31	Where's the tempo?  Can you see it?	manju wh		tempo gr	R	TempoTest3	yes	0	0	0	4500	573	2373
TL2-30A	Sound	32	Which one's the blue car?  Do you see it?	carblue		carred	L	SO-ColorBlue	yes	0	0	0	4500	1004	2804
TL2-30A	Sound	33	Where's the manju?  Check that out!	manju wh		tempo gr	L	ManjuTest3	yes	0	0	0	4500	579	2379
TL2-30A	Sound	34	Can you find the big sock?  Do you like it?	socklittle		sockbig	R	AbsSizeBig	yes	0	0	0	4500	1029	2829
TL2-30A	Sound	35	Where's the tempo? Do you see it?	manju gr		tempo yl	R	TempoTest4	yes	0	0	0	4500	573	2373
TL2-30A	Sound	36	Where's the doggie?  Can you find it?	baby2		doggie2	R	familiar	yes	0	0	0	4500	612	2412
TL2-30A	Sound	37	Where's the manju? Do you see it?	manju gr		tempo yl	L	ManjuTest4	yes	0	0	0	4500	579	2379
TL2-30A	Sound	38	Which one's the blue house?  Do you like it?	housered		houseblue	R	SO-ColorBlue	yes	0	0	0	4500	1017	2817
TL2-30A	Sound	39	Where's the tempo?  Check that out!	tempo gr		manju wh	L	TempoTest5	yes	0	0	0	4500	573	2373
TL2-30A	Sound	40	Give me the juice.  Can you see it?	juice1		book1	L	UR-primeNoun	yes	0	0	0	4500	835	2635
TL2-30A	Sound	40	Give me the juice.  Can you see it?	juice1		book1	L	UR-primeVerb	yes	0	0	0	4500	0	1800
TL2-30A	Sound	41	Where's the manju.  Can you find it?	tempo gr		manju wh	R	ManjuTest5	yes	0	0	0	4500	579	2379
TL2-30A	Sound	42	Where's the baby?  Can you see it?	doggie1		baby1	R	familiar	yes	0	0	0	4500	613	2413
revised for double-dipping 12/1/09 by CP															
