Name	Trial #	Order 1	Left Image	Right Image	Target Side	Condition	Used	Word Onset
TL2-24BNO	1	See the apple?  Do you see  it?	banana	apple	R	filler	no	
TL2-24BNO	2	Where's the doggy? Can you see it? 	doggie1	baby1	L	familiar	yes	824
TL2-24BNO	3	Show me the juice. Do you like it?	car2	juice1	R	UR-prime	yes	850
TL2-24BNO	4	Take the book. Check that out!	book3	cookie1	L	UR-prime	yes	852
TL2-24BNO	5	Where's  the birdie? Can you find it? 	birdie3	kitty3	L	familiar	yes	828
TL2-24BNO	6	There's a kitty on the deebo.	birdieA	kittyB	R	medial	yes	402
TL2-24BNO	7	That's a doggie over there.	babyB	doggieA	R	medial	yes	365
TL2-24BNO	8	Which is the blue ball?  Do you like it?	ballblue	shoered	L	adjective	yes	786
TL2-24BNO	9	Drive the car. Check that out!	juice2	car1	R	R-prime	yes	850
TL2-24BNO	10	That's  a birdie over there.	birdieA	kittyB	L	medial	yes	373
TL2-24BNO	11	Where's the baby? Can you see it? 	doggie1	baby1	R	familiar	yes	821
TL2-24BNO	12	There's a kitty on  the deebo.	kittyB	birdieA	L	medial	yes	402
TL2-24BNO	13	Where's the deebo? Can you see the deebo?	novelB	novelA	L	noveltest	yes	690
TL2-24BNO	14	Which is the blue shoe?  Can you find it?	ballred	shoeblue	R	adjective	yes	775
TL2-24BNO	15	Give me the cookie. Do you like it?	book1	cookie3	R	UR-prime	yes	850
TL2-24BNO	16	Drink the juice. Do you like it?	juice2	car3	L	R-prime	yes	850
TL2-24BNO	17	That's  a birdie on the deebo.	kittyA	birdieB	R	medial	yes	372
TL2-24BNO	18	There's a baby over there.	babyA	doggieB	L	medial	yes	354
TL2-24BNO	19	Which is the red ball?  Check that out!	shoeblue	ballred	R	adjective	yes	799
TL2-24BNO	20	There's a kitty over there.	birdieB	kittyA	R	medial	yes	403
TL2-24BNO	21	That's a doggie on the deebo.	doggieB	babyA	L	medial	yes	355
TL2-24BNO	22	Read the book. Check that out! 	cookie2	book2	R	R-prime	yes	850
TL2-24BNO	23	Where's the kitty? Can you find it?	kitty2	birdie2	L	familiar	yes	828
TL2-24BNO	24	There's a baby on the deebo.	doggieA	babyB	R	medial	yes	378
TL2-24BNO	25	There's a kitty over there.	kittyA	birdieB	L	medial	yes	403
TL2-24BNO	26	Where's the deebo? Can you see the deebo?	novelA	novelB	R	noveltest	yes	690
TL2-24BNO	27	Which is the red shoe?  Do you like it?	shoered	ballblue	L	adjective	yes	755
TL2-24BNO	28	Where's the deebo? Can you see the deebo?	novelB	novelA	L	noveltest	yes	690
TL2-24BNO	29	Where's the doggy?  Can you see it?	baby3	doggie3	R	familiar	yes	824
TL2-24BNO	30	Where's the deebo? Can you see the deebo?	novelA	novelB	R	noveltest	yes	690
TL2-24BNO	31	Look at the car.  Check that out! 	car1	juice2	L	UR-prime	yes	850
TL2-24BNO	32	Which is the red shoe?  Do you like it?	ballblue	shoered	R	adjective	yes	755
TL2-24BNO	33	Eat the cookie. Do you like it? 	cookie3	book1	L	R-prime	yes	850
TL2-24BNO	34	Where's the baby? Can you see it? 	baby2	doggie2	L	familiar	yes	821
TL2-24BNO	35	Where's the kitty? Can you find it? 	birdie1	kitty1	R	familiar	yes	828
TL2-24BNO	36	Which is the blue ball?  Do you like it?	ballblue	shoered	L	adjective	yes	786
TL2-24BNO	37	Where's the doggy? Can you see it? 	baby2	doggie2	R	familiar	yes	824
TL2-24BNO	38	Where's the birdy?  Can you find it?	kitty2	birdy2	R	familiar	yes	828
TL2-24BNO	39	Where's the baby?  Can you see it?	baby3	doggie3	L	familiar	yes	821
