lab_age,subject_id,administration_id,dataset_id,monitor_size_x,monitor_size_y,lab_age_units,age,tracker,sample_rate,coding_method
18,0,0,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,0,1,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,0,2,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,1,3,0,NA,NA,months,18,video_camera,30,manual gaze coding
19,1,4,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,2,5,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,2,6,0,NA,NA,months,19,video_camera,30,manual gaze coding
25,2,7,0,NA,NA,months,25,video_camera,30,manual gaze coding
18,3,8,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,3,9,0,NA,NA,months,18,video_camera,30,manual gaze coding
23,3,10,0,NA,NA,months,23,video_camera,30,manual gaze coding
18,4,11,0,NA,NA,months,18,video_camera,30,manual gaze coding
19,4,12,0,NA,NA,months,19,video_camera,30,manual gaze coding
24,4,13,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,5,14,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,5,15,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,5,16,0,NA,NA,months,24,video_camera,30,manual gaze coding
19,6,17,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,6,18,0,NA,NA,months,19,video_camera,30,manual gaze coding
23,6,19,0,NA,NA,months,23,video_camera,30,manual gaze coding
18,7,20,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,7,21,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,7,22,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,8,23,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,8,24,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,8,25,0,NA,NA,months,24,video_camera,30,manual gaze coding
17,9,26,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,9,27,0,NA,NA,months,17,video_camera,30,manual gaze coding
25,9,28,0,NA,NA,months,25,video_camera,30,manual gaze coding
18,10,29,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,10,30,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,10,31,0,NA,NA,months,24,video_camera,30,manual gaze coding
17,11,32,0,NA,NA,months,17,video_camera,30,manual gaze coding
18,11,33,0,NA,NA,months,18,video_camera,30,manual gaze coding
25,11,34,0,NA,NA,months,25,video_camera,30,manual gaze coding
21,12,35,0,NA,NA,months,21,video_camera,30,manual gaze coding
21,12,36,0,NA,NA,months,21,video_camera,30,manual gaze coding
19,13,37,0,NA,NA,months,19,video_camera,30,manual gaze coding
20,13,38,0,NA,NA,months,20,video_camera,30,manual gaze coding
23,13,39,0,NA,NA,months,23,video_camera,30,manual gaze coding
20,14,40,0,NA,NA,months,20,video_camera,30,manual gaze coding
20,14,41,0,NA,NA,months,20,video_camera,30,manual gaze coding
18,15,42,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,15,43,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,15,44,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,16,45,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,16,46,0,NA,NA,months,18,video_camera,30,manual gaze coding
25,16,47,0,NA,NA,months,25,video_camera,30,manual gaze coding
21,17,48,0,NA,NA,months,21,video_camera,30,manual gaze coding
21,17,49,0,NA,NA,months,21,video_camera,30,manual gaze coding
17,18,50,0,NA,NA,months,17,video_camera,30,manual gaze coding
18,18,51,0,NA,NA,months,18,video_camera,30,manual gaze coding
25,18,52,0,NA,NA,months,25,video_camera,30,manual gaze coding
18,19,53,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,19,54,0,NA,NA,months,18,video_camera,30,manual gaze coding
23,19,55,0,NA,NA,months,23,video_camera,30,manual gaze coding
20,20,56,0,NA,NA,months,20,video_camera,30,manual gaze coding
21,20,57,0,NA,NA,months,21,video_camera,30,manual gaze coding
19,21,58,0,NA,NA,months,19,video_camera,30,manual gaze coding
20,21,59,0,NA,NA,months,20,video_camera,30,manual gaze coding
19,22,60,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,22,61,0,NA,NA,months,19,video_camera,30,manual gaze coding
25,22,62,0,NA,NA,months,25,video_camera,30,manual gaze coding
21,23,63,0,NA,NA,months,21,video_camera,30,manual gaze coding
21,23,64,0,NA,NA,months,21,video_camera,30,manual gaze coding
18,24,65,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,24,66,0,NA,NA,months,18,video_camera,30,manual gaze coding
25,24,67,0,NA,NA,months,25,video_camera,30,manual gaze coding
18,25,68,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,25,69,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,25,70,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,26,71,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,26,72,0,NA,NA,months,18,video_camera,30,manual gaze coding
26,26,73,0,NA,NA,months,26,video_camera,30,manual gaze coding
18,27,74,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,27,75,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,27,76,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,28,77,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,28,78,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,28,79,0,NA,NA,months,24,video_camera,30,manual gaze coding
17,29,80,0,NA,NA,months,17,video_camera,30,manual gaze coding
18,29,81,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,30,82,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,30,83,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,30,84,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,31,85,0,NA,NA,months,18,video_camera,30,manual gaze coding
17,32,86,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,32,87,0,NA,NA,months,17,video_camera,30,manual gaze coding
23,32,88,0,NA,NA,months,23,video_camera,30,manual gaze coding
17,33,89,0,NA,NA,months,17,video_camera,30,manual gaze coding
18,33,90,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,33,91,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,34,92,0,NA,NA,months,18,video_camera,30,manual gaze coding
19,34,93,0,NA,NA,months,19,video_camera,30,manual gaze coding
24,34,94,0,NA,NA,months,24,video_camera,30,manual gaze coding
17,35,95,0,NA,NA,months,17,video_camera,30,manual gaze coding
18,35,96,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,35,97,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,36,98,0,NA,NA,months,18,video_camera,30,manual gaze coding
19,36,99,0,NA,NA,months,19,video_camera,30,manual gaze coding
24,36,100,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,37,101,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,37,102,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,37,103,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,38,104,0,NA,NA,months,18,video_camera,30,manual gaze coding
19,38,105,0,NA,NA,months,19,video_camera,30,manual gaze coding
24,38,106,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,39,107,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,39,108,0,NA,NA,months,18,video_camera,30,manual gaze coding
24,39,109,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,40,110,0,NA,NA,months,18,video_camera,30,manual gaze coding
19,40,111,0,NA,NA,months,19,video_camera,30,manual gaze coding
24,40,112,0,NA,NA,months,24,video_camera,30,manual gaze coding
18,41,113,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,41,114,0,NA,NA,months,18,video_camera,30,manual gaze coding
23,41,115,0,NA,NA,months,23,video_camera,30,manual gaze coding
19,42,116,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,42,117,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,43,118,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,43,119,0,NA,NA,months,19,video_camera,30,manual gaze coding
19,44,120,0,NA,NA,months,19,video_camera,30,manual gaze coding
20,44,121,0,NA,NA,months,20,video_camera,30,manual gaze coding
17,45,122,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,46,123,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,46,124,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,47,125,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,47,126,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,48,127,0,NA,NA,months,17,video_camera,30,manual gaze coding
17,48,128,0,NA,NA,months,17,video_camera,30,manual gaze coding
18,49,129,0,NA,NA,months,18,video_camera,30,manual gaze coding
18,49,130,0,NA,NA,months,18,video_camera,30,manual gaze coding
