dataset_id,stimulus_novelty,original_stimulus_label,english_stimulus_label,stimulus_image_path,image_description,image_description_source,lab_stimulus_id,stimulus_id
0,familiar,baby,baby,baby.pct,baby,image path,baby,0
0,familiar,car,car,car.pct,car,image path,car,1
0,familiar,ball,ball,ball.pct,ball,image path,ball,2
0,familiar,doggy,doggy,doggy.pct,doggy,image path,doggy,3
0,familiar,shoe,shoe,shoe.pct,shoe,image path,shoe,4
0,familiar,birdie,birdie,birdie.pct,birdie,image path,birdie,5
0,familiar,book,book,book.pct,book,image path,book,6
0,familiar,kitty,kitty,kitty.pct,kitty,image path,kitty,7
0,familiar,Blue,Blue,BlueCup.pct,Blue,image path,BlueCup,8
0,familiar,Book,Book,Book.pct,Book,image path,Book,9
0,familiar,Car,Car,Car.pct,Car,image path,Car,10
0,familiar,Red,Red,RedSock.pct,Red,image path,RedSock,11
0,familiar,Sock,Sock,RedSock.pct,Sock,image path,RedSock,12
0,familiar,Cookie,Cookie,Cookie.pct,Cookie,image path,Cookie,13
0,familiar,Blue,Blue,BlueShoe.pct,Blue,image path,BlueShoe,14
0,familiar,Shoe,Shoe,BlueShoe.pct,Shoe,image path,BlueShoe,15
0,familiar,Red,Red,RedCup.pct,Red,image path,RedCup,16
0,familiar,Juice,Juice,Juice.pct,Juice,image path,Juice,17
0,familiar,Red,Red,RedBall.pct,Red,image path,RedBall,18
0,familiar,Ball,Ball,RedBall.pct,Ball,image path,RedBall,19
0,familiar,birdy,birdy,birdy.pct,birdy,image path,birdy,20
0,familiar,Blue,Blue,BlueBall.pct,Blue,image path,BlueBall,21
0,familiar,Ball,Ball,BlueBall.pct,Ball,image path,BlueBall,22
0,familiar,Cup,Cup,BlueCup.pct,Cup,image path,BlueCup,23
0,familiar,doggie,doggie,doggie.pct,doggie,image path,doggie,24
0,familiar,Blue,Blue,BlueSock.pct,Blue,image path,BlueSock,25
0,familiar,Sock,Sock,BlueSock.pct,Sock,image path,BlueSock,26
0,familiar,Red,Red,RedShoe.pct,Red,image path,RedShoe,27
0,familiar,Shoe,Shoe,RedShoe.pct,Shoe,image path,RedShoe,28
0,familiar,Cup,Cup,RedCup.pct,Cup,image path,RedCup,29
0,familiar,baby,baby,baby1.pct,baby,image path,baby1,30
0,familiar,car,car,car1.pct,car,image path,car1,31
0,familiar,ball,ball,ball1.pct,ball,image path,ball1,32
0,familiar,doggy,doggy,doggy2.pct,doggy,image path,doggy2,33
0,familiar,shoe,shoe,shoe2.pct,shoe,image path,shoe2,34
0,familiar,birdie,birdie,birdie1.pct,birdie,image path,birdie1,35
0,familiar,book,book,book2.pct,book,image path,book2,36
0,familiar,kitty,kitty,kitty2.pct,kitty,image path,kitty2,37
0,familiar,book,book,book3.pct,book,image path,book3,38
0,familiar,kitty,kitty,kitty3.pct,kitty,image path,kitty3,39
0,familiar,doggy,doggy,doggy3.pct,doggy,image path,doggy3,40
0,familiar,ball,ball,ball3.pct,ball,image path,ball3,41
0,familiar,birdie,birdie,birdie4.pct,birdie,image path,birdie4,42
0,familiar,baby,baby,baby4.pct,baby,image path,baby4,43
0,familiar,car,car,car4.pct,car,image path,car4,44
0,familiar,shoe,shoe,shoe4.pct,shoe,image path,shoe4,45
0,familiar,birdie,birdie,birdie2.pct,birdie,image path,birdie2,46
0,familiar,book,book,book 2.pct,book,image path,book 2,47
0,familiar,ball,ball,ball2.pct,ball,image path,ball2,48
0,familiar,car,car,car3.pct,car,image path,car3,49
0,familiar,shoe,shoe,shoe3.pct,shoe,image path,shoe3,50
0,familiar,baby,baby,baby3.pct,baby,image path,baby3,51
0,familiar,kitty,kitty,kitty1.pct,kitty,image path,kitty1,52
0,familiar,doggy,doggy,doggy1.pct,doggy,image path,doggy1,53
0,familiar,book,book,book1.pct,book,image path,book1,54
0,familiar,shoe,shoe,shoe1.pct,shoe,image path,shoe1,55
0,familiar,baby,baby,baby2.pct,baby,image path,baby2,56
0,familiar,car,car,car2.pct,car,image path,car2,57
0,familiar,birdie,birdie,birdie3.pct,birdie,image path,birdie3,58
0,familiar,kitty,kitty,kitty4.pct,kitty,image path,kitty4,59
0,familiar,doggy,doggy,doggy4.pct,doggy,image path,doggy4,60
0,familiar,book,book,book4.pct,book,image path,book4,61
0,familiar,ball,ball,ball4.pct,ball,image path,ball4,62
