target_side,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,condition
left,0,3,NA,0,0,TL2-1A-2,NA,0,eng,
right,1,6,NA,1,0,TL2-1A-3,NA,0,eng,
left,2,4,NA,2,0,TL2-1A-4,NA,0,eng,
right,3,0,NA,3,0,TL2-1A-5,NA,0,eng,
right,4,2,NA,4,0,TL2-1A-6,NA,0,eng,
right,5,7,NA,5,0,TL2-1A-7,NA,0,eng,
left,6,1,NA,6,0,TL2-1A-8,NA,0,eng,
left,7,5,NA,7,0,TL2-1A-9,NA,0,eng,
right,6,1,NA,8,0,TL2-1A-11,NA,0,eng,
right,7,5,NA,9,0,TL2-1A-12,NA,0,eng,
left,3,0,NA,10,0,TL2-1A-13,NA,0,eng,
right,2,4,NA,11,0,TL2-1A-14,NA,0,eng,
left,5,7,NA,12,0,TL2-1A-15,NA,0,eng,
right,0,3,NA,13,0,TL2-1A-16,NA,0,eng,
left,1,6,NA,14,0,TL2-1A-17,NA,0,eng,
left,4,2,NA,15,0,TL2-1A-18,NA,0,eng,
right,5,7,NA,16,0,TL2-1A-20,NA,0,eng,
left,6,1,NA,17,0,TL2-1A-21,NA,0,eng,
left,2,4,NA,18,0,TL2-1A-22,NA,0,eng,
right,3,0,NA,19,0,TL2-1A-23,NA,0,eng,
right,1,6,NA,20,0,TL2-1A-24,NA,0,eng,
left,7,5,NA,21,0,TL2-1A-25,NA,0,eng,
right,4,2,NA,22,0,TL2-1A-26,NA,0,eng,
left,0,3,NA,23,0,TL2-1A-27,NA,0,eng,
right,7,5,NA,24,0,TL2-1A-29,NA,0,eng,
right,2,4,NA,25,0,TL2-1A-30,NA,0,eng,
left,3,0,NA,26,0,TL2-1A-31,NA,0,eng,
left,5,7,NA,27,0,TL2-1A-32,NA,0,eng,
right,6,1,NA,28,0,TL2-1A-33,NA,0,eng,
left,4,2,NA,29,0,TL2-1A-34,NA,0,eng,
right,0,3,NA,30,0,TL2-1A-35,NA,0,eng,
left,1,6,NA,31,0,TL2-1A-36,NA,0,eng,
right,3,0,NA,32,0,TL2-2B-2,NA,0,eng,
left,6,1,NA,33,0,TL2-2B-3,NA,0,eng,
right,4,2,NA,34,0,TL2-2B-4,NA,0,eng,
left,0,3,NA,35,0,TL2-2B-5,NA,0,eng,
left,2,4,NA,36,0,TL2-2B-6,NA,0,eng,
left,7,5,NA,37,0,TL2-2B-7,NA,0,eng,
right,1,6,NA,38,0,TL2-2B-8,NA,0,eng,
right,5,7,NA,39,0,TL2-2B-9,NA,0,eng,
left,1,6,NA,40,0,TL2-2B-11,NA,0,eng,
left,5,7,NA,41,0,TL2-2B-12,NA,0,eng,
right,0,3,NA,42,0,TL2-2B-13,NA,0,eng,
left,4,2,NA,43,0,TL2-2B-14,NA,0,eng,
right,7,5,NA,44,0,TL2-2B-15,NA,0,eng,
left,3,0,NA,45,0,TL2-2B-16,NA,0,eng,
right,6,1,NA,46,0,TL2-2B-17,NA,0,eng,
right,2,4,NA,47,0,TL2-2B-18,NA,0,eng,
left,7,5,NA,48,0,TL2-2B-20,NA,0,eng,
right,1,6,NA,49,0,TL2-2B-21,NA,0,eng,
right,4,2,NA,50,0,TL2-2B-22,NA,0,eng,
left,0,3,NA,51,0,TL2-2B-23,NA,0,eng,
left,6,1,NA,52,0,TL2-2B-24,NA,0,eng,
right,5,7,NA,53,0,TL2-2B-25,NA,0,eng,
left,2,4,NA,54,0,TL2-2B-26,NA,0,eng,
right,3,0,NA,55,0,TL2-2B-27,NA,0,eng,
left,5,7,NA,56,0,TL2-2B-29,NA,0,eng,
left,4,2,NA,57,0,TL2-2B-30,NA,0,eng,
right,0,3,NA,58,0,TL2-2B-31,NA,0,eng,
right,7,5,NA,59,0,TL2-2B-32,NA,0,eng,
