stimulus_id,original_stimulus_label,english_stimulus_label,stimulus_novelty,stimulus_image_path,lab_stimulus_id,dataset_id
0,dog,dog,familiar,images/dog.png,dog,0
1,book,book,familiar,images/book.png,book,0
2,cookie,cookie,familiar,images/cookie.png,cookie,0
3,baby,baby,familiar,images/baby.png,baby,0
4,bird,bird,familiar,images/bird.png,bird,0
5,bottle,bottle,familiar,images/bottle.png,bottle,0
6,ball,ball,familiar,images/ball.png,ball,0
7,cat,cat,familiar,images/cat.png,cat,0
8,horse,horse,familiar,images/horse.png,horse,0
9,clock,clock,familiar,images/clock.png,clock,0
10,carrot,carrot,familiar,images/carrot.png,carrot,0
11,lamp,lamp,familiar,images/lamp.png,lamp,0
12,table,table,familiar,images/table.png,table,0
13,lion,lion,familiar,images/lion.png,lion,0
14,sheep,sheep,familiar,images/sheep.png,sheep,0
15,hammer,hammer,familiar,images/hammer.png,hammer,0
16,car,car,familiar,images/car.png,car,0
17,fep,fep,novel,images/fep.png,fep,0
18,apple,apple,familiar,images/apple.png,apple,0
19,wug,wug,novel,images/wug.png,wug,0
20,dax,dax,novel,images/dax.png,dax,0
21,cup,cup,familiar,images/cup.png,cup,0
22,kreeb,kreeb,novel,images/kreeb.png,kreeb,0
23,shoe,shoe,familiar,images/shoe.png,shoe,0
24,monkey,monkey,familiar,images/monkey.png,monkey,0
25,toma,toma,novel,images/toma.png,toma,0
26,frog,frog,familiar,images/frog.png,frog,0
27,pifo,pifo,novel,images/pifo.png,pifo,0
28,dofa,dofa,novel,images/dofa.png,dofa,0
29,train,train,familiar,images/train.png,train,0
30,modi,modi,novel,images/modi.png,modi,0
31,shovel,shovel,familiar,images/shovel.png,shovel,0
