subject_id,sex,lab_subject_id
0,male,2014_09_13_100
1,male,2014_09_09_91
2,female,2014_09_10_97
3,female,2014_09_13_103
4,female,2014_09_09_89
5,male,2014_09_13_102
6,female,2014_09_10_93
7,female,2014_10_04_104
8,male,2014_09_10_96
9,female,2014_08_27_58
10,female,2014_08_27_62
11,female,2014_08_22_44
12,female,2014_07_03_03
13,male,2014_09_13_101
14,male,2014_08_27_59
15,male,2014_08_22_45
16,female,2014_08_22_48
17,male,2014_09_03_69
18,male,2014_07_29_09
19,female,2014_07_03_05
20,female,2014_08_05_19
21,male,2014_09_03_70
22,female,2014_07_29_07
23,male,2014_08_24_54
24,male,2014_08_05_17
25,male,2014_08_24_56
26,female,2014_09_09_88
27,female,2014_07_29_06
28,male,2014_08_26_57
29,female,2014_08_22_51
30,male,2014_08_24_53
31,male,2014_08_22_50
32,female,2014_07_03_02
33,female,2014_07_03_04
34,female,2014_07_29_08
35,male,2014_08_22_46
36,male,2014_08_24_52
37,male,2014_07_03_01
38,male,2014_08_05_18
39,male,2014_09_10_95
40,female,2014_08_27_60
41,male,2014_08_27_61
42,female,2014_09_09_90
43,male,2014_09_13_99
44,female,2014_09_13_98
45,male,2014_08_22_47
46,male,2014_08_24_55
47,female,2014_09_10_94
48,male,2014_07_29_10
49,male,2014_08_29_63
50,male,2014_10_25_117
51,male,2014_09_04_76
52,female,2014_08_15_23
53,male,2014_10_04_110
54,female,2014_11_15_120
55,female,2014_10_04_107
56,male,2014_10_04_111
57,female,2014_10_25_118
58,female,2014_10_04_109
59,male,2014_10_04_108
60,female,2014_11_15_121
61,female,2014_10_04_106
62,female,2014_09_05_83
63,male,2014_10_25_114
64,female,2014_10_11_113
65,male,2014_10_25_116
66,female,2014_09_03_68
67,male,2014_10_04_105
68,male,2014_09_04_77
69,male,2014_09_04_74
70,male,2014_09_02_67
71,male,2014_08_18_31
72,female,2014_09_02_64
73,female,2014_09_03_72
74,female,2014_09_02_65
75,female,2014_08_22_43
76,male,2014_08_20_40
77,male,2014_09_03_73
78,female,2014_08_18_34
79,male,2014_09_05_79
80,female,2014_08_20_38
81,male,2014_09_05_78
82,male,2014_08_20_39
83,female,2014_08_18_30
84,male,2014_08_18_28
85,male,2014_08_15_27
86,male,2014_08_01_13
87,male,2014_08_20_37
88,female,2014_08_15_21
89,male,2014_09_02_66
90,female,2014_08_18_35
91,male,2014_08_20_41
92,male,2014_08_18_29
93,male,2014_08_15_22
94,male,2014_08_20_42
95,female,2014_08_15_25
96,female,2014_08_15_24
97,male,2014_09_09_86
98,female,2014_08_18_32
99,male,2014_09_05_80
100,male,2014_08_15_26
101,female,2014_08_20_36
102,female,2014_08_01_14
103,male,2014_09_05_81
104,male,2014_08_01_03
105,male,2014_09_04_75
106,female,2014_09_05_85
107,female,2014_08_01_11
108,male,2014_08_01_12
109,male,2014_09_05_82
