subject_id,sex,native_language,lab_subject_id
0,male,eng,v01
1,male,eng,v02
2,female,eng,v03
3,male,eng,v04
4,male,eng,v05
5,female,eng,v06
6,male,eng,v07
7,female,eng,v08
8,female,eng,v09
9,male,eng,v10
10,male,eng,v11
11,male,eng,v12
12,female,eng,v14
13,male,eng,v15
14,male,eng,v17
15,female,eng,v18
16,female,eng,v19
17,female,eng,v20
18,male,eng,v21
19,male,eng,v22
20,male,eng,v23
21,female,eng,v24
22,female,eng,v25
23,male,eng,v26
24,female,eng,v28
25,female,eng,v29
26,female,eng,v31
27,male,eng,v32
28,male,eng,v33
29,female,eng,v34
30,male,eng,v38
31,female,eng,v40
32,male,eng,v43
33,female,eng,v45
34,female,eng,v46
35,male,eng,v47
36,female,eng,v48
37,male,eng,v51
38,female,eng,v52
39,female,eng,v53
40,female,eng,v55
41,male,eng,v56
42,male,eng,v59
43,male,eng,v60
44,male,eng,v61
45,male,eng,v62
46,female,eng,v64
47,male,eng,v67
48,male,eng,v68
49,male,eng,v70
50,female,eng,v71
51,female,eng,v72
52,female,eng,v73
53,female,eng,v74
54,male,eng,v78
55,female,eng,v79
56,female,eng,v80
57,male,eng,v81
58,male,eng,v82
59,female,eng,v83
60,female,eng,v84
61,female,eng,v85
62,female,eng,v86
63,male,eng,v90
64,male,eng,v91
65,female,eng,v92
66,male,eng,v94
67,male,eng,v95
68,male,eng,v96
