trial_type_id,full_phrase,full_phrase_language,point_of_disambiguation,vanilla_trial,target_side,lab_trial_id,condition,dataset_id,distractor_id,target_id,aoi_region_set_id,trial_type_aux_data
0,Look! She can clean,eng,14807,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
1,Look! She can clean,eng,14808,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
2,Look! She can clean,eng,14812,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
3,Look! She can clean,eng,14812,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
4,Look! She can clean,eng,14814,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
5,Look! She can clean,eng,14814,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
6,Look! She can clean,eng,14815,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
7,Look! She can clean,eng,14815,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
8,Look! She can clean,eng,14816,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
9,Look! She can clean,eng,14817,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
10,Look! She can clean,eng,14817,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
11,Look! She can clean,eng,14818,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
12,Look! She can clean,eng,14818,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
13,Look! She can clean,eng,14819,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
14,Look! She can clean,eng,14819,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
15,Look! She can clean,eng,14820,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
16,Look! She can clean,eng,14820,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
17,Look! She can clean,eng,14822,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
18,Look! She can clean,eng,14823,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
19,Look! She can clean,eng,14824,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
20,Look! She can clean,eng,14825,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
21,Look! She can clean,eng,14825,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
22,Look! She can clean,eng,14826,TRUE,right,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
23,Look! She can clean,eng,14827,TRUE,left,clean_can-clean_read_distractor,correctly pronounced x regular,0,14,0,0,NA
