trial_id,trial_type_id,trial_order,trial_aux_data
0,169,1,NA
1,246,10,NA
2,851,11,NA
3,554,12,NA
4,1154,13,NA
5,621,14,NA
6,477,15,NA
7,1017,16,NA
8,705,17,NA
9,74,18,NA
10,942,19,NA
11,84,2,NA
12,780,20,NA
13,384,21,NA
14,1072,22,NA
15,482,23,NA
16,235,24,NA
17,617,25,NA
18,1146,26,NA
19,319,27,NA
20,157,28,NA
21,1011,29,NA
22,1093,3,NA
23,848,30,NA
24,2,31,NA
25,542,32,NA
26,388,4,NA
27,763,5,NA
28,911,6,NA
29,307,7,NA
30,701,8,NA
31,100,9,NA
32,481,1,NA
33,947,10,NA
34,724,11,NA
35,559,12,NA
36,190,15,NA
37,875,2,NA
38,567,3,NA
39,1109,4,NA
40,118,5,NA
41,266,6,NA
42,774,7,NA
43,414,8,NA
44,327,9,NA
45,161,1,NA
46,257,10,NA
47,838,11,NA
48,551,12,NA
49,1152,13,NA
50,623,14,NA
51,469,15,NA
52,1011,16,NA
53,701,17,NA
54,14,18,NA
55,992,19,NA
56,97,2,NA
57,765,20,NA
58,403,21,NA
59,1096,22,NA
60,479,23,NA
61,243,24,NA
62,632,25,NA
63,1148,26,NA
64,321,27,NA
65,166,28,NA
66,1003,29,NA
67,1087,3,NA
68,845,30,NA
69,8,31,NA
70,553,32,NA
71,377,4,NA
72,782,5,NA
73,922,6,NA
74,318,7,NA
75,710,8,NA
76,96,9,NA
77,481,1,NA
78,938,10,NA
79,716,11,NA
80,561,12,NA
81,909,13,NA
82,18,14,NA
83,161,15,NA
84,1000,16,NA
85,485,17,NA
86,640,18,NA
87,1023,19,NA
88,854,2,NA
89,407,20,NA
90,1098,21,NA
91,696,22,NA
92,103,23,NA
93,250,24,NA
94,788,25,NA
95,918,26,NA
96,312,27,NA
97,1161,28,NA
98,629,29,NA
99,548,3,NA
100,175,30,NA
101,23,31,NA
102,1161,32,NA
103,1098,4,NA
104,96,5,NA
105,243,6,NA
106,794,7,NA
107,312,9,NA
108,161,1,NA
109,244,10,NA
110,864,11,NA
111,569,12,NA
112,1177,13,NA
113,645,14,NA
114,477,15,NA
115,1031,16,NA
116,714,17,NA
117,32,18,NA
118,945,19,NA
119,112,2,NA
120,778,20,NA
121,411,21,NA
122,1097,22,NA
123,469,23,NA
124,247,24,NA
125,647,25,NA
126,1170,26,NA
127,338,27,NA
128,183,28,NA
129,1031,29,NA
130,1076,3,NA
131,852,30,NA
132,33,31,NA
133,551,32,NA
134,389,4,NA
135,793,5,NA
136,940,6,NA
137,316,7,NA
138,714,8,NA
139,114,9,NA
140,466,1,NA
141,994,10,NA
142,704,11,NA
143,543,12,NA
144,860,13,NA
145,18,14,NA
146,167,15,NA
147,1006,16,NA
148,466,17,NA
149,629,18,NA
150,1064,19,NA
151,861,2,NA
152,394,20,NA
153,1143,21,NA
154,90,23,NA
155,255,24,NA
156,537,3,NA
157,1069,4,NA
158,83,5,NA
159,231,6,NA
160,790,7,NA
161,394,8,NA
162,343,9,NA
163,169,1,NA
164,241,10,NA
165,856,11,NA
166,538,12,NA
167,1166,13,NA
168,628,14,NA
169,487,15,NA
170,1007,16,NA
171,693,17,NA
172,12,18,NA
173,995,19,NA
174,81,2,NA
175,783,20,NA
176,393,21,NA
177,1093,22,NA
178,471,23,NA
179,231,24,NA
180,638,25,NA
181,1166,26,NA
182,307,27,NA
183,1078,3,NA
184,379,4,NA
185,777,5,NA
186,919,6,NA
187,321,7,NA
188,717,8,NA
189,87,9,NA
190,489,1,NA
191,948,10,NA
192,696,11,NA
193,561,12,NA
194,874,13,NA
195,39,14,NA
196,189,15,NA
197,1033,16,NA
198,497,17,NA
199,685,18,NA
200,1032,19,NA
201,878,2,NA
202,417,20,NA
203,1079,21,NA
204,727,22,NA
205,103,23,NA
206,264,24,NA
207,763,25,NA
208,950,26,NA
209,330,27,NA
210,1179,28,NA
211,650,29,NA
212,573,3,NA
213,186,30,NA
214,38,31,NA
215,1176,32,NA
216,1079,4,NA
217,115,5,NA
218,268,6,NA
219,801,7,NA
220,380,8,NA
221,333,9,NA
222,181,1,NA
223,269,10,NA
224,870,11,NA
225,574,12,NA
226,1178,13,NA
227,652,14,NA
228,494,15,NA
229,1028,16,NA
230,726,17,NA
231,34,18,NA
232,946,19,NA
233,110,2,NA
234,800,20,NA
235,413,21,NA
236,1103,22,NA
237,495,23,NA
238,265,24,NA
239,648,25,NA
240,1174,26,NA
241,313,27,NA
242,188,28,NA
243,1030,29,NA
244,1108,3,NA
245,873,30,NA
246,35,31,NA
247,572,32,NA
248,418,4,NA
249,803,5,NA
250,951,6,NA
251,340,7,NA
252,725,8,NA
253,114,9,NA
254,492,1,NA
255,958,10,NA
256,721,11,NA
257,577,12,NA
258,864,13,NA
259,40,14,NA
260,225,15,NA
261,1024,16,NA
262,499,17,NA
263,653,18,NA
264,1034,19,NA
265,877,2,NA
266,408,20,NA
267,1106,21,NA
268,723,22,NA
269,111,23,NA
270,263,24,NA
271,802,25,NA
272,953,26,NA
273,336,27,NA
274,1181,28,NA
275,611,29,NA
276,570,3,NA
277,191,30,NA
278,71,31,NA
279,1102,4,NA
280,120,5,NA
281,251,6,NA
282,804,7,NA
283,414,8,NA
284,337,9,NA
285,155,1,NA
286,97,2,NA
287,1081,3,NA
288,409,4,NA
289,786,5,NA
290,936,6,NA
291,306,7,NA
292,714,8,NA
293,106,9,NA
294,472,1,NA
295,925,10,NA
296,709,11,NA
297,564,12,NA
298,856,13,NA
299,14,14,NA
300,160,15,NA
301,1012,16,NA
302,464,17,NA
303,644,18,NA
304,1012,19,NA
305,869,2,NA
306,402,20,NA
307,702,22,NA
308,565,3,NA
309,1088,4,NA
310,85,5,NA
311,230,6,NA
312,787,7,NA
313,392,8,NA
314,320,9,NA
315,466,1,NA
316,921,10,NA
317,702,11,NA
318,559,12,NA
319,855,13,NA
320,21,14,NA
321,171,15,NA
322,1018,16,NA
323,478,17,NA
324,635,18,NA
325,1024,19,NA
326,863,2,NA
327,1075,21,NA
328,700,22,NA
329,88,23,NA
330,535,3,NA
331,1092,4,NA
332,78,5,NA
333,303,6,NA
334,771,7,NA
335,385,8,NA
336,311,9,NA
337,156,1,NA
338,234,10,NA
339,840,11,NA
340,549,12,NA
341,1151,13,NA
342,632,14,NA
343,471,15,NA
344,997,16,NA
345,715,17,NA
346,25,18,NA
347,928,19,NA
348,88,2,NA
349,774,20,NA
350,456,21,NA
351,1087,22,NA
352,480,23,NA
353,301,24,NA
354,624,25,NA
355,1151,26,NA
356,313,27,NA
357,157,28,NA
358,1017,29,NA
359,1093,3,NA
360,868,30,NA
361,29,31,NA
362,554,32,NA
363,399,4,NA
364,773,5,NA
365,939,6,NA
366,332,7,NA
367,715,8,NA
368,93,9,NA
369,160,1,NA
370,248,10,NA
371,847,11,NA
372,549,12,NA
373,1159,13,NA
374,639,14,NA
375,482,15,NA
376,1019,16,NA
377,707,17,NA
378,16,18,NA
379,931,19,NA
380,84,2,NA
381,785,20,NA
382,384,21,NA
383,1089,22,NA
384,484,23,NA
385,240,24,NA
386,634,25,NA
387,1160,26,NA
388,323,27,NA
389,162,28,NA
390,1013,29,NA
391,1065,3,NA
392,859,30,NA
393,558,32,NA
394,395,4,NA
395,770,5,NA
396,939,6,NA
397,310,7,NA
398,701,8,NA
399,79,9,NA
400,493,1,NA
