subject_id,age_at_test_days,administration_id,dataset_id,age,lab_age,lab_age_units,monitor_size_x,monitor_size_y,sample_rate,tracker,coding_method,administration_aux_data
0,543,0,0,17.83983572895277,543,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":303,""eng_wg_comp_age"":17,""eng_wg_prod_rawscore"":58,""eng_wg_prod_age"":17}"
1,483,1,0,15.868583162217659,483,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":""NA"",""eng_wg_prod_age"":""NA""}"
2,608,2,0,19.975359342915812,608,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":249,""eng_wg_comp_age"":20,""eng_wg_prod_rawscore"":135,""eng_wg_prod_age"":20}"
3,485,3,0,15.93429158110883,485,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":""NA"",""eng_wg_prod_age"":""NA""}"
4,530,4,0,17.412731006160165,530,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":264,""eng_wg_comp_age"":18,""eng_wg_prod_rawscore"":152,""eng_wg_prod_age"":18}"
5,485,5,0,15.93429158110883,485,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":114,""eng_wg_comp_age"":15,""eng_wg_prod_rawscore"":60,""eng_wg_prod_age"":15}"
6,493,6,0,16.197125256673512,493,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":229,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":0,""eng_wg_prod_age"":16}"
7,521,7,0,17.117043121149898,521,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":201,""eng_wg_comp_age"":17,""eng_wg_prod_rawscore"":85,""eng_wg_prod_age"":17}"
8,481,8,0,15.80287474332649,481,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":""NA"",""eng_wg_prod_age"":""NA""}"
9,548,9,0,18.0041067761807,548,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":113,""eng_wg_comp_age"":18,""eng_wg_prod_rawscore"":36,""eng_wg_prod_age"":18}"
10,497,10,0,16.32854209445585,497,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":""NA"",""eng_wg_prod_age"":""NA""}"
11,533,11,0,17.51129363449692,533,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":103,""eng_wg_comp_age"":17,""eng_wg_prod_rawscore"":13,""eng_wg_prod_age"":17}"
12,525,12,0,17.248459958932237,525,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":""NA"",""eng_wg_prod_age"":""NA""}"
13,473,13,0,15.540041067761807,473,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":100,""eng_wg_comp_age"":15,""eng_wg_prod_rawscore"":8,""eng_wg_prod_age"":15}"
14,503,14,0,16.525667351129364,503,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":134,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":49,""eng_wg_prod_age"":16}"
15,553,15,0,18.168377823408623,553,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":71,""eng_wg_comp_age"":18,""eng_wg_prod_rawscore"":16,""eng_wg_prod_age"":18}"
16,517,16,0,16.985626283367555,517,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":95,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":9,""eng_wg_prod_age"":16}"
17,534,17,0,17.544147843942504,534,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":106,""eng_wg_comp_age"":17,""eng_wg_prod_rawscore"":0,""eng_wg_prod_age"":17}"
18,528,18,0,17.347022587268995,528,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":345,""eng_wg_comp_age"":17,""eng_wg_prod_rawscore"":21,""eng_wg_prod_age"":17}"
19,516,19,0,16.95277207392197,516,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":114,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":26,""eng_wg_prod_age"":16}"
20,578,20,0,18.989733059548254,578,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":324,""eng_wg_comp_age"":18,""eng_wg_prod_rawscore"":40,""eng_wg_prod_age"":18}"
21,577,21,0,18.95687885010267,577,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":334,""eng_wg_comp_age"":18,""eng_wg_prod_rawscore"":182,""eng_wg_prod_age"":18}"
22,507,22,0,16.657084188911703,507,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":197,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":64,""eng_wg_prod_age"":16}"
23,571,23,0,18.759753593429156,571,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":203,""eng_wg_comp_age"":18,""eng_wg_prod_rawscore"":164,""eng_wg_prod_age"":18}"
24,510,24,0,16.75564681724846,510,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":38,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":13,""eng_wg_prod_age"":16}"
25,472,25,0,15.507186858316222,472,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":164,""eng_wg_comp_age"":15,""eng_wg_prod_rawscore"":7,""eng_wg_prod_age"":15}"
26,471,26,0,15.474332648870636,471,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":30,""eng_wg_comp_age"":15,""eng_wg_prod_rawscore"":16,""eng_wg_prod_age"":15}"
27,490,27,0,16.098562628336754,490,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":234,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":61,""eng_wg_prod_age"":16}"
28,491,28,0,16.13141683778234,491,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":45,""eng_wg_comp_age"":16,""eng_wg_prod_rawscore"":10,""eng_wg_prod_age"":16}"
29,596,29,0,19.581108829568787,596,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":""NA"",""eng_wg_prod_age"":""NA""}"
30,841,30,0,27.630390143737166,841,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":452,""eng_wg_prod_age"":""NA""}"
31,801,31,0,26.316221765913756,801,days,1280,1024,500,Eyelink 1000+,eyetracking,"{""eng_wg_comp_rawscore"":""NA"",""eng_wg_comp_age"":""NA"",""eng_wg_prod_rawscore"":114,""eng_wg_prod_age"":""NA""}"
