subject_id,sex,native_language,lab_subject_id,subject_aux_data
0,male,eng,v01,NA
1,male,eng,v02,NA
2,female,eng,v03,NA
3,male,eng,v04,NA
4,male,eng,v05,NA
5,female,eng,v06,NA
6,male,eng,v07,NA
7,female,eng,v08,NA
8,female,eng,v09,NA
9,male,eng,v10,NA
10,male,eng,v11,NA
11,male,eng,v12,NA
12,female,eng,v14,NA
13,male,eng,v15,NA
14,male,eng,v17,NA
15,female,eng,v18,NA
16,female,eng,v19,NA
17,female,eng,v20,NA
18,male,eng,v21,NA
19,male,eng,v22,NA
20,male,eng,v23,NA
21,female,eng,v24,NA
22,female,eng,v25,NA
23,male,eng,v26,NA
24,female,eng,v28,NA
25,female,eng,v29,NA
26,female,eng,v31,NA
27,male,eng,v32,NA
28,male,eng,v33,NA
29,female,eng,v34,NA
30,male,eng,v38,NA
31,female,eng,v40,NA
32,male,eng,v43,NA
33,female,eng,v45,NA
34,female,eng,v46,NA
35,male,eng,v47,NA
36,female,eng,v48,NA
37,male,eng,v51,NA
38,female,eng,v52,NA
39,female,eng,v53,NA
40,female,eng,v55,NA
41,male,eng,v56,NA
42,male,eng,v59,NA
43,male,eng,v60,NA
44,male,eng,v61,NA
45,male,eng,v62,NA
46,female,eng,v64,NA
47,male,eng,v67,NA
48,male,eng,v68,NA
49,male,eng,v70,NA
50,female,eng,v71,NA
51,female,eng,v72,NA
52,female,eng,v73,NA
53,female,eng,v74,NA
54,male,eng,v78,NA
55,female,eng,v79,NA
56,female,eng,v80,NA
57,male,eng,v81,NA
58,male,eng,v82,NA
59,female,eng,v83,NA
60,female,eng,v84,NA
61,female,eng,v85,NA
62,female,eng,v86,NA
63,male,eng,v90,NA
64,male,eng,v91,NA
65,female,eng,v92,NA
66,male,eng,v94,NA
67,male,eng,v95,NA
68,male,eng,v96,NA
