trial_id,trial_type_id,trial_order,trial_aux_data,excluded,exclusion_reason
0,169,1,NA,FALSE,NA
1,246,10,NA,FALSE,NA
2,851,11,NA,FALSE,NA
3,554,12,NA,FALSE,NA
4,1154,13,NA,FALSE,NA
5,621,14,NA,FALSE,NA
6,477,15,NA,FALSE,NA
7,1017,16,NA,FALSE,NA
8,705,17,NA,FALSE,NA
9,74,18,NA,FALSE,NA
10,942,19,NA,TRUE,low-data/frozen
11,84,2,NA,FALSE,NA
12,780,20,NA,FALSE,NA
13,384,21,NA,FALSE,NA
14,1072,22,NA,FALSE,NA
15,482,23,NA,FALSE,NA
16,235,24,NA,FALSE,NA
17,617,25,NA,FALSE,NA
18,1146,26,NA,FALSE,NA
19,319,27,NA,FALSE,NA
20,157,28,NA,TRUE,low-data/frozen
21,1011,29,NA,FALSE,NA
22,1093,3,NA,FALSE,NA
23,848,30,NA,TRUE,low-data/frozen
24,2,31,NA,FALSE,NA
25,542,32,NA,FALSE,NA
26,388,4,NA,FALSE,NA
27,763,5,NA,FALSE,NA
28,911,6,NA,FALSE,NA
29,307,7,NA,TRUE,low-data/frozen
30,701,8,NA,TRUE,low-data/frozen
31,100,9,NA,FALSE,NA
32,481,1,NA,TRUE,low-data/frozen & participant excluded
33,947,10,NA,TRUE,participant excluded
34,724,11,NA,TRUE,low-data/frozen & participant excluded
35,559,12,NA,TRUE,participant excluded
36,190,15,NA,TRUE,participant excluded
37,875,2,NA,TRUE,participant excluded
38,567,3,NA,TRUE,participant excluded
39,1109,4,NA,TRUE,participant excluded
40,118,5,NA,TRUE,participant excluded
41,266,6,NA,TRUE,low-data/frozen & participant excluded
42,774,7,NA,TRUE,participant excluded
43,414,8,NA,TRUE,participant excluded
44,327,9,NA,TRUE,participant excluded
45,161,1,NA,FALSE,NA
46,257,10,NA,FALSE,NA
47,838,11,NA,FALSE,NA
48,551,12,NA,FALSE,NA
49,1152,13,NA,FALSE,NA
50,623,14,NA,FALSE,NA
51,469,15,NA,FALSE,NA
52,1011,16,NA,FALSE,NA
53,701,17,NA,FALSE,NA
54,14,18,NA,FALSE,NA
55,992,19,NA,FALSE,NA
56,97,2,NA,FALSE,NA
57,765,20,NA,FALSE,NA
58,403,21,NA,FALSE,NA
59,1096,22,NA,FALSE,NA
60,479,23,NA,FALSE,NA
61,243,24,NA,FALSE,NA
62,632,25,NA,FALSE,NA
63,1148,26,NA,FALSE,NA
64,321,27,NA,FALSE,NA
65,166,28,NA,FALSE,NA
66,1003,29,NA,FALSE,NA
67,1087,3,NA,FALSE,NA
68,845,30,NA,FALSE,NA
69,8,31,NA,FALSE,NA
70,553,32,NA,FALSE,NA
71,377,4,NA,FALSE,NA
72,782,5,NA,FALSE,NA
73,922,6,NA,FALSE,NA
74,318,7,NA,FALSE,NA
75,710,8,NA,FALSE,NA
76,96,9,NA,FALSE,NA
77,481,1,NA,FALSE,NA
78,938,10,NA,FALSE,NA
79,716,11,NA,FALSE,NA
80,561,12,NA,FALSE,NA
81,909,13,NA,TRUE,low-data/frozen
82,18,14,NA,FALSE,NA
83,161,15,NA,TRUE,low-data/frozen
84,1000,16,NA,FALSE,NA
85,485,17,NA,FALSE,NA
86,640,18,NA,FALSE,NA
87,1023,19,NA,FALSE,NA
88,854,2,NA,FALSE,NA
89,407,20,NA,FALSE,NA
90,1098,21,NA,FALSE,NA
91,696,22,NA,FALSE,NA
92,103,23,NA,FALSE,NA
93,250,24,NA,FALSE,NA
94,788,25,NA,TRUE,low-data/frozen
95,918,26,NA,TRUE,low-data/frozen
96,312,27,NA,FALSE,NA
97,1161,28,NA,FALSE,NA
98,629,29,NA,FALSE,NA
99,548,3,NA,FALSE,NA
100,175,30,NA,TRUE,low-data/frozen
101,23,31,NA,FALSE,NA
102,1161,32,NA,FALSE,NA
103,1098,4,NA,TRUE,low-data/frozen
104,96,5,NA,TRUE,low-data/frozen
105,243,6,NA,TRUE,low-data/frozen
106,794,7,NA,TRUE,low-data/frozen
107,312,9,NA,FALSE,NA
108,161,1,NA,FALSE,NA
109,244,10,NA,FALSE,NA
110,864,11,NA,FALSE,NA
111,569,12,NA,FALSE,NA
112,1177,13,NA,FALSE,NA
113,645,14,NA,FALSE,NA
114,477,15,NA,FALSE,NA
115,1031,16,NA,FALSE,NA
116,714,17,NA,FALSE,NA
117,32,18,NA,FALSE,NA
118,945,19,NA,FALSE,NA
119,112,2,NA,FALSE,NA
120,778,20,NA,FALSE,NA
121,411,21,NA,FALSE,NA
122,1097,22,NA,TRUE,low-data/frozen
123,469,23,NA,TRUE,low-data/frozen
124,247,24,NA,TRUE,low-data/frozen
125,647,25,NA,FALSE,NA
126,1170,26,NA,FALSE,NA
127,338,27,NA,FALSE,NA
128,183,28,NA,FALSE,NA
129,1031,29,NA,FALSE,NA
130,1076,3,NA,FALSE,NA
131,852,30,NA,FALSE,NA
132,33,31,NA,FALSE,NA
133,551,32,NA,FALSE,NA
134,389,4,NA,FALSE,NA
135,793,5,NA,FALSE,NA
136,940,6,NA,FALSE,NA
137,316,7,NA,FALSE,NA
138,714,8,NA,FALSE,NA
139,114,9,NA,TRUE,low-data/frozen
140,466,1,NA,FALSE,NA
141,994,10,NA,FALSE,NA
142,704,11,NA,FALSE,NA
143,543,12,NA,FALSE,NA
