experimenter,RA,location,study name,IRB_protocol,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude,notes,,
AEN,AEN,CDM,negtracker,19960,071712_01,2_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,system crash,,
AEN,AEN,CDM,negtracker,19960,071712_02,2_1,male,no,NaN,NaN,NaN,NaN,NaN,NaN,0.48,1.105,1,1.875427789,1,4,fussy,,
AEN,AEN,CDM,negtracker,19960,071712_03,2_1,female,yes,white,100,1,2,3,yes,0.7675,1.2525,1,1.760438056,1,4,fussy,,
AEN,AEN,CDM,negtracker,19960,071712_04,2_2,female,no,asian,100,1,6,4,yes,0.6,0.4275,0,5.297741273,5,4,fussy,,
AEN,AEN,CDM,negtracker,19960,071912_01,3_1,male,no,other,90,3,6,4,no,0.3125,1.37,1,3.260780287,3,0,,,
AEN,AEN,CDM,negtracker,19960,071912_02,3_1,male,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7875,0.805,1,11 mo.,0,4,fussy,,
AEN,AEN,CDM,negtracker,19960,071912_03,3_1,male,no,white,100,2,4,NaN,no,0.41,0.63,1,1.292265572,1,4,fussy,,
AEN,AEN,CDM,negtracker,19960,071912_04,3_1,female,no,white,100,1,6,6,no,0.4575,1.19,1,1.623545517,1,0,,,
AEN,AEN,CDM,negtracker,19960,071912_05,3_1,female,no,other,50,3,6,6,no,0.3,1.3925,1,2.151950719,2,0,,,
AEN,AEN,CDM,negtracker,19960,071912_06,3_1,female,yes,NaN,75,3,4,3,no,0.4875,0.81,1,1.546885695,1,4,"switched from booster to lab in middle so calibration might be off.  Stopped close to end, probably has some good data. ",,
AEN,AEN,CDM,negtracker,19960,071912_07,3_1,female,no,asian,100,1,6,6,no,4.1075,4.5825,1,3.468856947,3,0,,,
AEN,AEN,CDM,negtracker,19960,072312_01,3_1,female,no,other,75,2,4,4,yes,1.25,1.4775,1,1.661875428,1,0,switched to lap halfway through,,
AEN,AEN,CDM,negtracker,19960,072312_02,3_1,female,no,white,100,1,6,6,no,1.5425,2.5125,1,3.843942505,3,0,,,
AEN,AEN,CDM,negtracker,19960,072312_03,3_1,male,no,asian,100,2,5,6,no,1.22,2.47,1,2.546201232,2,4,,,
AEN,AEN,CDM,negtracker,19960,072312_04,3_1,male,no,white,5,2,5,5,no,0.7275,0.6475,1,1.604380561,1,4,,,
AEN,AEN,CDM,negtracker,19960,072312_05,3_1,male,no,white,100,1,6,5,no,0.975,1.2975,0,2.209445585,2,4,,,
AEN,AEN,CDM,negtracker,19960,072412_01,4_1,female,no,white,100,1,6,4,no,1.9025,1.7725,1,1.264887064,1,4,different timing - 7500 ms for trials instead of 8500; wrong timing for fish item (use v2 sentences),,
AEN,AEN,CDM,negtracker,19960,072412_02,4_1,female,no,white,25,2,6,6,yes,3.1025,0.9725,1,1.026694045,1,4,different timing - 7500 ms for trials instead of 8500; wrong timing for fish item (use v2 sentences),,
AEN,AEN,CDM,negtracker,19960,072512_03,4_1,female,no,white,100,1,6,5,no,2.1725,1.6225,1,2.603696099,2,0,wrong timing for fish item (use v2 sentence),,
AEN,AEN,CDM,negtracker,19960,072412_04,4_1,female,no,asian,5,2,4,6,no,7.8725,2.835,1,2.795345654,2,0,no english,,
AEN,AEN,CDM,negtracker,19960,072412_05,4_1,female,no,white,100,1,6,6,no,0.555,0.1975,0,2.119096509,2,0,,,
AEN,AEN,CDM,negtracker,19960,072612_01,4_1,female,no,white,100,1,6,4,no,1.32,0.8175,1,1.872689938,1,0,,,
AEN,AEN,CDM,negtracker,19960,072612_02,4_1,male,no,asian,75,2,6,6,no,2.4525,3.78,0,1.089664613,1,0,,,
AEN,AEN,CDM,negtracker,19960,072612_03,4_1,male,yes,white,25,2,6,6,no,NaN,NaN,1,1.130732375,1,4,tracker would not calibrate,,
AEN,AEN,CDM,negtracker,19960,072612_04,4_1,female,yes,asian,90,3,3,3,no,NaN,NaN,0,1.724845996,1,0,tracker would not calibrate,,
AEN,AEN,CDM,negtracker,19960,073012_01,4_2,female,no,asian,90,2,4,4,no,0.4775,0.7625,1,2.072553046,2,0,,,
AEN,AEN,CDM,negtracker,19960,073012_02,4_2,male,no,white,100,1,4,4,no,NaN,NaN,0,2.516084873,2,0,tracker would not calibrate,,
AEN,AEN,CDM,negtracker,19960,073012_03,4_2,male,no,asian,NaN,NaN,NaN,NaN,NaN,4.975,7.6,1,1.385352498,1,1,screened for autism,,
AEN,AEN,CDM,negtracker,19960,073012_04,4_2,female,no,pacific,100,1,3,3,no,0.47,0.4925,1,1.084188912,1,0,,,
AEN,AEN,CDM,negtracker,19960,073012_05,4_2,female,no,other,75,2,6,6,no,0.295,0.685,1,1.837097878,1,0,,,
AEN,AEN,CDM,negtracker,19960,073012_06,4_2,male,yes,other,90,2,3,2,no,0.55,0.26,1,#VALUE!,#VALUE!,0,,,
AEN,AEN,CDM,negtracker,19960,073112_01,4_2,female,no,white,90,1,5,4,no,0.405,0.8475,0,2.127310062,2,0,,,
AEN,AEN,CDM,negtracker,19960,073112_02,4_2,male,no,white,100,1,4,3,no,1.0975,0.4275,1,2.54072553,2,0,,,
AEN,AEN,CDM,negtracker,19960,073112_03,4_2,male,no,white,100,1,6,6,no,0.635,0.78,1,0.966461328,0,0,,,
AEN,AEN,CDM,negtracker,19960,073112_04,4_2,male,no,asian,75,2,6,6,no,0.36,1.1575,1,2.275154004,2,0,,,
AEN,AEN,CDM,negtracker,19960,073112_05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,,,
AEN,AEN,CDM,negtracker,19960,073112_06,4_2,female,no,white,100,1,6,6,yes,4.235,3.6375,1,2.773442847,2,0,,,
AEN,AEN,CDM,negtracker,19960,080112_01,4_1,male,yes,NaN,50,2,4,5,yes,2.025,2.32,1,2.058863792,2,0,,,
AEN,AEN,CDM,negtracker,19960,080112_02,4_1,male,no,other,100,1,4,4,no,0.495,0.415,1,1.273100616,1,0,,,
AEN,AEN,CDM,negtracker,19960,080112_03,4_1,male,no,other,90,2,6,6,no,1.6625,0.9475,1,2.184804928,2,0,,,
AEN,AEN,CDM,negtracker,19960,080112_04,4_1,female,no,other,100,1,4,4,no,1.3125,0.83,1,2.672142368,2,4,stopped @ elmo_dog,,
AEN,AEN,CDM,negtracker,19960,080112_05,4_1,male,no,white,100,1,6,5,no,0.4125,1.46,1,1.275838467,1,0,,,
AEN,AEN,CDM,negtracker,19960,080212_01,4_2,male,no,white,75,2,6,6,no,0.985,1.5575,0,2.565366188,2,0,,,
AEN,AEN,CDM,negtracker,19960,080212_02,4_2,female,no,white,90,3,6,6,no,7.295,3.085,1,2.149212868,2,0,,,
AEN,AEN,CDM,negtracker,19960,080212_03,4_2,male,no,white,90,1,4,4,no,0.1225,2.065,1,2.543463381,2,0,,,
AEN,AEN,CDM,negtracker,19960,080212_04,4_2,female,no,NaN,NaN,NaN,NaN,NaN,NaN,2.72,1.02,1,2.203969884,2,3,lollipops: dads eyes,,
AEN,AEN,CDM,negtracker,19960,080812_01,4_1,male,NaN,NaN,100,NaN,NaN,NaN,NaN,0.5425,1.305,1,6.165639973,6,0,,,
AEN,AEN,CDM,negtracker,19960,080812_02,4_2,male,NaN,NaN,100,NaN,NaN,NaN,NaN,0.7375,1.4,0,7.726214921,7,0,,,
AEN,AEN,CDM,negtracker,19960,080812_03,4_1,male,NaN,NaN,100,NaN,NaN,NaN,NaN,1.0025,0.8325,1,6.858316222,6,0,,,
AEN,AEN,CDM,negtracker,19960,080812_04,4_2,female,NaN,NaN,100,NaN,NaN,NaN,NaN,3.9075,4.75,1,6.54072553,6,0,,,
AEN,AEN,CDM,negtracker,19960,080812_05,4_2,female,NaN,NaN,100,NaN,NaN,NaN,NaN,0.5425,0.203,0,8.199863107,8,0,,,
AEN,AEN,CDM,negtracker,19960,080812_06,4_1,female,NaN,NaN,100,NaN,NaN,NaN,NaN,0.555,1.1575,1,5.618069815,5,0,,,
AEN,AEN,CDM,negtracker,19960,080812_07,4_2,female,NaN,NaN,100,NaN,NaN,NaN,NaN,0.4825,0.39,1,9.984941821,9,0,,,
AEN,AEN,CDM,negtracker,19960,080812_08,4_2,male,NaN,NaN,100,NaN,NaN,NaN,NaN,0.635,0.7575,1,7.000684463,7,0,,,
AEN,AEN,CDM,negtracker,19960,081412_01,4_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.525,1.2625,1,NaN,NaN,0,,,
AEN,AEN,CDM,negtracker,19960,081412_02,4_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0425,3.5075,1,NaN,NaN,0,,,
AEN,AEN,CDM,negtracker,19960,101112_01,5_1,female,yes,other,100,1,4,3,no,0.39,0.8925,1,3.381245722,3,0,,,
AEN,AEN,CDM,negtracker,19960,101112_02,5_1,male,no,other,90,3,4,6,no,2.8925,2.45,1,1.853524983,1,0,,,
