eventnum,trialnum,item,type,sentence_onset,person_onset,who_onset,has_onset,no_onset,noun_onset,sentence_offset,tag_onset
1,1,cars,positive,2,2.516,2.903,3.02,NaN,3.435,4.391,5.5
2,2,kites,negative,2,2.522,2.733,2.888,3.182,3.55,4.254,5.5
4,3,bananas,positive,2,2.55,3.348,2.934,NaN,3.31,4.263,5.5
6,4,balloons,negative,2,2.538,2.952,3.051,3.384,3.758,4.624,5.5
8,5,apples,positive,2,2.604,2.922,3.048,NaN,3.396,4.236,5.5
10,6,spoons,positive,2,2.512,2.851,2.967,NaN,3.378,4.255,5.5
12,7,buckets,negative,2,2.613,2.914,3.092,3.394,3.771,4.553,5.5
14,8,oranges,positive,2,2.535,2.81,2.964,NaN,3.283,4.254,5.5
16,9,balls,negative,2,2.525,2.914,3.031,3.325,3.7,4.499,5.5
18,10,lollipops,positive,2,2.563,2.834,2.976,NaN,3.276,4.367,5.5
20,11,cakes,negative,2,2.557,2.825,2.988,3.159,3.644,4.288,5.5
22,12,flowers,negative,2,2.484,2.759,2.898,3.172,3.504,4.418,5.5
24,13,fish,positive,2,2.495,2.828,2.97,NaN,3.311,3.978,5.5
26,14,carrots,negative,2,2.55,2.909,3.07,3.381,3.749,4.51,5.5
28,15,icecream,negative,2,2.576,2.886,2.893,3.306,3.724,4.566,5.5
29,16,cookies,positive,2,2.544,2.791,2.906,NaN,3.262,4.082,5.5
