stimulus_id,stimulus_novelty,original_stimulus_label,english_stimulus_label,stimulus_image_path,image_description,image_description_source,lab_stimulus_id,dataset_id,stimulus_aux_data
0,familiar,cow,cow,cow_typical_color,cow,experiment documentation,cow,0,NA
1,familiar,elephant,elephant,elephant_typical_color,elephant,experiment documentation,elephant,0,NA
2,familiar,strawberry,strawberry,strawberry_atypical_color,green strawberry,experiment documentation,strawberry,0,NA
3,familiar,duck,duck,duck_atypical_color,brown duck,experiment documentation,duck,0,NA
4,familiar,frog,frog,frog_atypical_color,striped frog,experiment documentation,frog,0,NA
5,familiar,lion,lion,lion_typical_color,lion,experiment documentation,lion,0,NA
6,familiar,zebra,zebra,zebra_atypical_color,green zebra,experiment documentation,zebra,0,NA
7,familiar,banana,banana,banana_typical_color,banana,experiment documentation,banana,0,NA
8,familiar,peas,peas,peas_atypical_color,red peas,experiment documentation,peas,0,NA
9,familiar,pig,pig,pig_typical_color,pig,experiment documentation,pig,0,NA
10,familiar,monkey,monkey,monkey_atypical_color,yellow monkey,experiment documentation,monkey,0,NA
11,familiar,grapes,grapes,grapes_typical_color,grapes,experiment documentation,grapes,0,NA
12,familiar,strawberry,strawberry,strawberry_typical_color,strawberry,experiment documentation,strawberry,0,NA
13,familiar,cow,cow,cow_atypical_color,pink cow,experiment documentation,cow,0,NA
14,familiar,elephant,elephant,elephant_atypical_color,brown elephant,experiment documentation,elephant,0,NA
15,familiar,duck,duck,duck_typical_color,duck,experiment documentation,duck,0,NA
16,familiar,frog,frog,frog_typical_color,frog,experiment documentation,frog,0,NA
17,familiar,lion,lion,lion_atypical_color,grey lion,experiment documentation,lion,0,NA
18,familiar,zebra,zebra,zebra_typical_color,zebra,experiment documentation,zebra,0,NA
19,familiar,banana,banana,banana_atypical_color,purple banana,experiment documentation,banana,0,NA
20,familiar,peas,peas,peas_typical_color,peas,experiment documentation,peas,0,NA
21,familiar,pig,pig,pig_atypical_color,holstein pig,experiment documentation,pig,0,NA
22,familiar,monkey,monkey,monkey_typical_color,monkey,experiment documentation,monkey,0,NA
23,familiar,grapes,grapes,grapes_atypical_color,yellow grapes,experiment documentation,grapes,0,NA
