subject_id,lab_subject_id,sex,native_language,subject_aux_data
0,125,male,eng,NA
1,135,male,eng,NA
2,136,female,eng,NA
3,142,female,eng,NA
4,144,female,eng,NA
5,150,female,eng,NA
6,153,male,eng,NA
7,159,male,eng,NA
8,165,male,eng,NA
9,172,male,eng,NA
10,174,female,eng,NA
11,179,female,eng,NA
12,181,male,eng,NA
13,143,male,eng,NA
14,145,male,eng,NA
15,155,female,eng,NA
16,156,male,eng,NA
17,168,male,eng,NA
18,171,female,eng,NA
19,180,female,eng,NA
20,146,female,eng,NA
21,147,female,eng,NA
22,151,female,eng,NA
23,160,male,eng,NA
24,162,female,eng,NA
25,169,female,eng,NA
26,175,male,eng,NA
27,177,male,eng,NA
28,185,male,eng,NA
29,149,female,eng,NA
30,158,male,eng,NA
31,161,female,eng,NA
32,163,male,eng,NA
33,166,female,eng,NA
34,173,male,eng,NA
35,178,female,eng,NA
36,121,male,eng,NA
37,130,female,eng,NA
38,31,male,eng,NA
39,134,female,eng,NA
40,137,female,eng,NA
41,139,female,eng,NA
42,140,female,eng,NA
43,148,male,eng,NA
44,152,male,eng,NA
