trial_type_id,full_phrase,point_of_disambiguation,target_side,condition,trial_type_aux_data,vanilla_trial,aoi_region_set_id,lab_trial_id,dataset_id,target_id,distractor_id,full_phrase_language
0,NA,0,left,typical_color,NA,TRUE,NA,familiar-cow-pig,0,0,9,eng
1,NA,0,right,typical_color,NA,TRUE,NA,familiar-elephant-lion,0,1,5,eng
2,NA,0,left,atypical_color,NA,FALSE,NA,test-strawberry-peas,0,2,8,eng
3,NA,0,right,atypical_color,NA,FALSE,NA,test-duck-monkey,0,3,10,eng
4,NA,0,left,atypical_color,NA,FALSE,NA,test-frog-zebra,0,4,6,eng
5,NA,0,right,typical_color,NA,TRUE,NA,familiar-lion-elephant,0,5,1,eng
6,NA,0,right,atypical_color,NA,FALSE,NA,test-zebra-frog,0,6,4,eng
7,NA,0,left,typical_color,NA,TRUE,NA,familiar-banana-grapes,0,7,11,eng
8,NA,0,left,atypical_color,NA,FALSE,NA,test-peas-strawberry,0,8,2,eng
9,NA,0,left,typical_color,NA,TRUE,NA,familiar-pig-cow,0,9,0,eng
10,NA,0,right,atypical_color,NA,FALSE,NA,test-monkey-duck,0,10,3,eng
11,NA,0,left,typical_color,NA,TRUE,NA,familiar-grapes-banana,0,11,7,eng
12,NA,0,right,atypical_color,NA,FALSE,NA,test-peas-strawberry,0,8,2,eng
13,NA,0,right,typical_color,NA,TRUE,NA,familiar-pig-cow,0,9,0,eng
14,NA,0,left,atypical_color,NA,FALSE,NA,test-duck-monkey,0,3,10,eng
15,NA,0,left,typical_color,NA,TRUE,NA,familiar-lion-elephant,0,5,1,eng
16,NA,0,right,atypical_color,NA,FALSE,NA,test-strawberry-peas,0,2,8,eng
17,NA,0,right,typical_color,NA,TRUE,NA,familiar-cow-pig,0,0,9,eng
18,NA,0,left,atypical_color,NA,FALSE,NA,test-monkey-duck,0,10,3,eng
19,NA,0,right,typical_color,NA,TRUE,NA,familiar-grapes-banana,0,11,7,eng
20,NA,0,left,typical_color,NA,TRUE,NA,familiar-elephant-lion,0,1,5,eng
21,NA,0,right,typical_color,NA,TRUE,NA,familiar-banana-grapes,0,7,11,eng
22,NA,0,right,atypical_color,NA,FALSE,NA,test-frog-zebra,0,4,6,eng
23,NA,0,left,atypical_color,NA,FALSE,NA,test-zebra-frog,0,6,4,eng
24,NA,0,left,typical_color,NA,TRUE,NA,familiar-strawberry-peas,0,12,20,eng
25,NA,0,left,atypical_color,NA,FALSE,NA,test-cow-pig,0,13,21,eng
26,NA,0,right,atypical_color,NA,FALSE,NA,test-elephant-lion,0,14,17,eng
27,NA,0,right,typical_color,NA,TRUE,NA,familiar-duck-monkey,0,15,22,eng
28,NA,0,left,typical_color,NA,TRUE,NA,familiar-frog-zebra,0,16,18,eng
29,NA,0,right,atypical_color,NA,FALSE,NA,test-lion-elephant,0,17,14,eng
30,NA,0,right,typical_color,NA,TRUE,NA,familiar-zebra-frog,0,18,16,eng
31,NA,0,left,atypical_color,NA,FALSE,NA,test-banana-grapes,0,19,23,eng
32,NA,0,left,typical_color,NA,TRUE,NA,familiar-peas-strawberry,0,20,12,eng
33,NA,0,left,atypical_color,NA,FALSE,NA,test-pig-cow,0,21,13,eng
34,NA,0,right,typical_color,NA,TRUE,NA,familiar-monkey-duck,0,22,15,eng
35,NA,0,left,atypical_color,NA,FALSE,NA,test-grapes-banana,0,23,19,eng
36,NA,0,right,typical_color,NA,TRUE,NA,familiar-peas-strawberry,0,20,12,eng
37,NA,0,right,atypical_color,NA,FALSE,NA,test-pig-cow,0,21,13,eng
38,NA,0,left,typical_color,NA,TRUE,NA,familiar-duck-monkey,0,15,22,eng
39,NA,0,left,atypical_color,NA,FALSE,NA,test-lion-elephant,0,17,14,eng
40,NA,0,right,typical_color,NA,TRUE,NA,familiar-strawberry-peas,0,12,20,eng
41,NA,0,right,atypical_color,NA,FALSE,NA,test-cow-pig,0,13,21,eng
42,NA,0,left,typical_color,NA,TRUE,NA,familiar-monkey-duck,0,22,15,eng
43,NA,0,right,atypical_color,NA,FALSE,NA,test-grapes-banana,0,23,19,eng
44,NA,0,right,atypical_color,NA,FALSE,NA,test-banana-grapes,0,19,23,eng
45,NA,0,left,atypical_color,NA,FALSE,NA,test-elephant-lion,0,14,17,eng
46,NA,0,right,typical_color,NA,TRUE,NA,familiar-frog-zebra,0,16,18,eng
47,NA,0,left,typical_color,NA,TRUE,NA,familiar-zebra-frog,0,18,16,eng
