trial_id,trial_order,trial_type_id,trial_aux_data,excluded,exclusion_reason
0,1,0,NA,FALSE,NA
13,2,1,NA,FALSE,NA
26,3,2,NA,FALSE,NA
39,4,3,NA,FALSE,NA
52,5,4,NA,FALSE,NA
65,6,5,NA,FALSE,NA
78,8,6,NA,FALSE,NA
91,9,7,NA,FALSE,NA
104,10,8,NA,FALSE,NA
117,11,9,NA,FALSE,NA
130,12,10,NA,FALSE,NA
143,13,11,NA,FALSE,NA
156,15,4,NA,FALSE,NA
169,16,12,NA,FALSE,NA
182,17,13,NA,FALSE,NA
195,18,6,NA,FALSE,NA
208,19,14,NA,FALSE,NA
221,20,15,NA,FALSE,NA
234,22,16,NA,FALSE,NA
247,23,17,NA,FALSE,NA
260,24,18,NA,FALSE,NA
273,25,19,NA,FALSE,NA
286,26,20,NA,FALSE,NA
299,27,21,NA,FALSE,NA
312,29,22,NA,FALSE,NA
324,30,14,NA,FALSE,NA
336,31,9,NA,FALSE,NA
347,32,15,NA,FALSE,NA
358,33,16,NA,FALSE,NA
368,34,7,NA,FALSE,NA
378,36,23,NA,FALSE,NA
387,37,10,NA,FALSE,NA
397,38,0,NA,FALSE,NA
407,39,1,NA,FALSE,NA
417,40,8,NA,FALSE,NA
427,41,11,NA,FALSE,NA
1,1,0,NA,FALSE,NA
14,2,1,NA,FALSE,NA
27,3,2,NA,FALSE,NA
40,4,3,NA,FALSE,NA
53,5,4,NA,FALSE,NA
66,6,5,NA,FALSE,NA
79,8,6,NA,FALSE,NA
92,9,7,NA,FALSE,NA
105,10,8,NA,FALSE,NA
118,11,9,NA,FALSE,NA
131,12,10,NA,FALSE,NA
144,13,11,NA,FALSE,NA
157,15,4,NA,FALSE,NA
170,16,12,NA,FALSE,NA
183,17,13,NA,FALSE,NA
196,18,6,NA,FALSE,NA
209,19,14,NA,FALSE,NA
222,20,15,NA,FALSE,NA
235,22,16,NA,FALSE,NA
248,23,17,NA,FALSE,NA
261,24,18,NA,FALSE,NA
274,25,19,NA,FALSE,NA
287,26,20,NA,FALSE,NA
300,27,21,NA,FALSE,NA
313,29,22,NA,FALSE,NA
325,30,14,NA,FALSE,NA
337,31,9,NA,FALSE,NA
348,32,15,NA,FALSE,NA
2,1,0,NA,FALSE,NA
15,2,1,NA,FALSE,NA
28,3,2,NA,FALSE,NA
41,4,3,NA,FALSE,NA
54,5,4,NA,FALSE,NA
67,6,5,NA,FALSE,NA
80,8,6,NA,FALSE,NA
93,9,7,NA,FALSE,NA
106,10,8,NA,FALSE,NA
119,11,9,NA,FALSE,NA
132,12,10,NA,FALSE,NA
145,13,11,NA,FALSE,NA
158,15,4,NA,FALSE,NA
171,16,12,NA,FALSE,NA
184,17,13,NA,FALSE,NA
197,18,6,NA,FALSE,NA
210,19,14,NA,FALSE,NA
223,20,15,NA,FALSE,NA
236,22,16,NA,FALSE,NA
249,23,17,NA,FALSE,NA
262,24,18,NA,FALSE,NA
275,25,19,NA,FALSE,NA
288,26,20,NA,FALSE,NA
301,27,21,NA,FALSE,NA
314,29,22,NA,FALSE,NA
326,30,14,NA,FALSE,NA
338,31,9,NA,FALSE,NA
349,32,15,NA,FALSE,NA
359,33,16,NA,FALSE,NA
369,34,7,NA,FALSE,NA
379,36,23,NA,FALSE,NA
388,37,10,NA,FALSE,NA
398,38,0,NA,FALSE,NA
408,39,1,NA,FALSE,NA
418,40,8,NA,FALSE,NA
428,41,11,NA,FALSE,NA
3,1,0,NA,FALSE,NA
16,2,1,NA,FALSE,NA
29,3,2,NA,FALSE,NA
42,4,3,NA,FALSE,NA
55,5,4,NA,FALSE,NA
68,6,5,NA,FALSE,NA
81,8,6,NA,FALSE,NA
94,9,7,NA,FALSE,NA
107,10,8,NA,FALSE,NA
120,11,9,NA,FALSE,NA
