name	trialOnset	trialNum	soundStimulus	leftImage	centerImage	rightImage	targetSide	condition	used	TrStart	PictOn	SoundOn	TrEnd	CritOnset	CritOffset
cp1a	Pic	1	whereCowCheckLeft	cow	o	pig	left	familiar	yes	0	0	0	6000		
cp1a	Pic	2	findElephantCanRight	lion	o	elephant	right	familiar	yes	0	0	0	6000		
cp1a	Pic	3	testfindStrawberryCanLeft	strawberry	o	peas	left	test	yes	0	0	0	6000		
cp1a	Pic	4	testwhereDuckCheckRight	monkey	o	duck	right	test	yes	0	0	0	6000		
cp1a	Pic	5	testwhereFrogDoLeft	frog	o	zebra	left	test	yes	0	0	0	6000		
cp1a	Pic	6	whereLionCheckRight	elephant	o	lion	right	familiar	yes	0	0	0	6000		
cp1a	Pic	7	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1a	Pic	8	testfindZebraCanRight	frog	o	zebra	right	test	yes	0	0	0	6000		
cp1a	Pic	9	findBananaCanLeft	banana	o	grapes	left	familiar	yes	0	0	0	6000		
cp1a	Pic	10	testfindPeasCanLeft	peas	o	strawberry	left	test	yes	0	0	0	6000		
cp1a	Pic	11	wherePigCheckLeft	pig	o	cow	left	familiar	yes	0	0	0	6000		
cp1a	Pic	12	testfindMonkeyCanRight	duck	o	monkey	right	test	yes	0	0	0	6000		
cp1a	Pic	13	whereGrapesCheckLeft	grapes	o	banana	left	familiar	yes	0	0	0	6000		
cp1a	Pic	14	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1a	Pic	15	testfindFrogCanLeft	frog	o	zebra	left	test	yes	0	0	0	6000		
cp1a	Pic	16	testwherePeasCheckRight	strawberry	o	peas	right	test	yes	0	0	0	6000		
cp1a	Pic	17	findPigCanRight	cow	o	pig	right	familiar	yes	0	0	0	6000		
cp1a	Pic	18	testwhereZebraDoRight	frog	o	zebra	right	test	yes	0	0	0	6000		
cp1a	Pic	19	testwhereDuckDoLeft	duck	o	monkey	left	test	yes	0	0	0	6000		
cp1a	Pic	20	whereLionDoLeft	lion	o	elephant	left	familiar	yes	0	0	0	6000		
cp1a	Pic	21	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1a	Pic	22	testfindStrawberryLookRight	peas	o	strawberry	right	test	yes	0	0	0	6000		
cp1a	Pic	23	findCowCanRight	pig	o	cow	right	familiar	yes	0	0	0	6000		
cp1a	Pic	24	testwhereMonkeyCheckLeft	monkey	o	duck	left	test	yes	0	0	0	6000		
cp1a	Pic	25	findGrapesCanRight	banana	o	grapes	right	familiar	yes	0	0	0	6000		
cp1a	Pic	26	whereElephantCheckLeft	elephant	o	lion	left	familiar	yes	0	0	0	6000		
cp1a	Pic	27	whereBananaCheckRight	grapes	o	banana	right	familiar	yes	0	0	0	6000		
cp1a	Pic	28	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1a	Pic	29	testwhereFrogCheckRight	zebra	o	frog	right	test	yes	0	0	0	6000		
cp1a	Pic	30	testfindDuckCanLeft	duck	o	monkey	left	test	yes	0	0	0	6000		
cp1a	Pic	31	findPigLookLeft	pig	o	cow	left	familiar	yes	0	0	0	6000		
cp1a	Pic	32	findLionCanLeft	lion	o	elephant	left	familiar	yes	0	0	0	6000		
cp1a	Pic	33	testwhereStrawberryCheckRight	peas	o	strawberry	right	test	yes	0	0	0	6000		
cp1a	Pic	34	whereBananaDoLeft	banana	o	grapes	left	familiar	yes	0	0	0	6000		
cp1a	Pic	35	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1a	Pic	36	testfindZebraLookLeft	zebra	o	frog	left	test	yes	0	0	0	6000		
cp1a	Pic	37	testwhereMonkeyDoRight	duck	o	monkey	right	test	yes	0	0	0	6000		
cp1a	Pic	38	findCowLookLeft	cow	o	pig	left	familiar	yes	0	0	0	6000		
cp1a	Pic	39	whereElephantDoRight	lion	o	elephant	right	familiar	yes	0	0	0	6000		
cp1a	Pic	40	testwherePeasDoLeft	peas	o	strawberry	left	test	yes	0	0	0	6000		
cp1a	Pic	41	findGrapesLookLeft	grapes	o	banana	left	familiar	yes	0	0	0	6000		
