name	trialOnset	trialNum	soundStimulus	leftImage	centerImage	rightImage	targetSide	condition	used	TrStart	PictOn	SoundOn	TrEnd	CritOnset	CritOffset
cp1b	Pic	1	findStrawberryCanLeft	strawberry	o	peas	left	familiar	yes	0	0	0	6000		
cp1b	Pic	2	testwhereCowCheckLeft	cow	o	pig	left	test	yes	0	0	0	6000		
cp1b	Pic	3	testfindElephantCanRight	lion	o	elephant	right	test	yes	0	0	0	6000		
cp1b	Pic	4	whereDuckCheckRight	monkey	o	duck	right	familiar	yes	0	0	0	6000		
cp1b	Pic	5	whereFrogDoLeft	frog	o	zebra	left	familiar	yes	0	0	0	6000		
cp1b	Pic	6	testwhereLionCheckRight	elephant	o	lion	right	test	yes	0	0	0	6000		
cp1b	Pic	7	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1b	Pic	8	findZebraCanRight	frog	o	zebra	right	familiar	yes	0	0	0	6000		
cp1b	Pic	9	testfindBananaCanLeft	banana	o	grapes	left	test	yes	0	0	0	6000		
cp1b	Pic	10	findPeasCanLeft	peas	o	strawberry	left	familiar	yes	0	0	0	6000		
cp1b	Pic	11	testwherePigCheckLeft	pig	o	cow	left	test	yes	0	0	0	6000		
cp1b	Pic	12	findMonkeyCanRight	duck	o	monkey	right	familiar	yes	0	0	0	6000		
cp1b	Pic	13	testwhereGrapesCheckLeft	grapes	o	banana	left	test	yes	0	0	0	6000		
cp1b	Pic	14	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1b	Pic	15	findFrogCanLeft	frog	o	zebra	left	familiar	yes	0	0	0	6000		
cp1b	Pic	16	wherePeasCheckRight	strawberry	o	peas	right	familiar	yes	0	0	0	6000		
cp1b	Pic	17	testfindPigCanRight	cow	o	pig	right	test	yes	0	0	0	6000		
cp1b	Pic	18	whereZebraDoRight	frog	o	zebra	right	familiar	yes	0	0	0	6000		
cp1b	Pic	19	whereDuckDoLeft	duck	o	monkey	left	familiar	yes	0	0	0	6000		
cp1b	Pic	20	testwhereLionDoLeft	lion	o	elephant	left	test	yes	0	0	0	6000		
cp1b	Pic	21	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1b	Pic	22	findStrawberryLookRight	peas	o	strawberry	right	familiar	yes	0	0	0	6000		
cp1b	Pic	23	testfindCowCanRight	pig	o	cow	right	test	yes	0	0	0	6000		
cp1b	Pic	24	whereMonkeyCheckLeft	monkey	o	duck	left	familiar	yes	0	0	0	6000		
cp1b	Pic	25	testfindGrapesCanRight	banana	o	grapes	right	test	yes	0	0	0	6000		
cp1b	Pic	26	testwhereBananaCheckRight	grapes	o	banana	right	test	yes	0	0	0	6000		
cp1b	Pic	27	testwhereElephantCheckLeft	elephant	o	lion	left	test	yes	0	0	0	6000		
cp1b	Pic	28	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1b	Pic	29	whereFrogCheckRight	zebra	o	frog	right	familiar	yes	0	0	0	6000		
cp1b	Pic	30	findDuckCanLeft	duck	o	monkey	left	familiar	yes	0	0	0	6000		
cp1b	Pic	31	testfindPigLookLeft	pig	o	cow	left	test	yes	0	0	0	6000		
cp1b	Pic	32	testfindLionCanLeft	lion	o	elephant	left	test	yes	0	0	0	6000		
cp1b	Pic	33	whereStrawberryCheckRight	peas	o	strawberry	right	familiar	yes	0	0	0	6000		
cp1b	Pic	34	testwhereBananaDoLeft	banana	o	grapes	left	test	yes	0	0	0	6000		
cp1b	Pic	35	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp1b	Pic	36	findZebraLookLeft	zebra	o	frog	left	familiar	yes	0	0	0	6000		
cp1b	Pic	37	whereMonkeyDoRight	duck	o	monkey	right	familiar	yes	0	0	0	6000		
cp1b	Pic	38	testfindCowLookLeft	cow	o	pig	left	test	yes	0	0	0	6000		
cp1b	Pic	39	testwhereElephantDoRight	lion	o	elephant	right	test	yes	0	0	0	6000		
cp1b	Pic	40	wherePeasDoLeft	peas	o	strawberry	left	familiar	yes	0	0	0	6000		
cp1b	Pic	41	testfindGrapesLookLeft	grapes	o	banana	left	test	yes	0	0	0	6000		
