lab_subject_id,lab_age,tracker,sample_rate,subject_id,administration_id,monitor_size_x,monitor_size_y,lab_age_units,age
319,46,video_camera,30,0,0,NA,NA,months,1400.24
320,43,video_camera,30,1,0,NA,NA,months,1308.92
321,47,video_camera,30,2,0,NA,NA,months,1430.68
322,42,video_camera,30,3,0,NA,NA,months,1278.48
323,43,video_camera,30,4,0,NA,NA,months,1308.92
324,42,video_camera,30,5,0,NA,NA,months,1278.48
325,42,video_camera,30,6,0,NA,NA,months,1278.48
326,42,video_camera,30,7,0,NA,NA,months,1278.48
327,45,video_camera,30,8,0,NA,NA,months,1369.8
329,43,video_camera,30,9,0,NA,NA,months,1308.92
330,42,video_camera,30,10,0,NA,NA,months,1278.48
331,43,video_camera,30,11,0,NA,NA,months,1308.92
332,42,video_camera,30,12,0,NA,NA,months,1278.48
333,42,video_camera,30,13,0,NA,NA,months,1278.48
334,44,video_camera,30,14,0,NA,NA,months,1339.3600000000001
335,43,video_camera,30,15,0,NA,NA,months,1308.92
336,42,video_camera,30,16,0,NA,NA,months,1278.48
337,43,video_camera,30,17,0,NA,NA,months,1308.92
338,44,video_camera,30,18,0,NA,NA,months,1339.3600000000001
339,41,video_camera,30,19,0,NA,NA,months,1248.04
340,47,video_camera,30,20,0,NA,NA,months,1430.68
341,45,video_camera,30,21,0,NA,NA,months,1369.8
342,44,video_camera,30,22,0,NA,NA,months,1339.3600000000001
343,42,video_camera,30,23,0,NA,NA,months,1278.48
344,41,video_camera,30,24,0,NA,NA,months,1248.04
345,45,video_camera,30,25,0,NA,NA,months,1369.8
346,44,video_camera,30,26,0,NA,NA,months,1339.3600000000001
347,46,video_camera,30,27,0,NA,NA,months,1400.24
348,42,video_camera,30,28,0,NA,NA,months,1278.48
349,45,video_camera,30,29,0,NA,NA,months,1369.8
350,43,video_camera,30,30,0,NA,NA,months,1308.92
351,45,video_camera,30,31,0,NA,NA,months,1369.8
352,46,video_camera,30,32,0,NA,NA,months,1400.24
353,47,video_camera,30,33,0,NA,NA,months,1430.68
354,46,video_camera,30,34,0,NA,NA,months,1400.24
355,45,video_camera,30,35,0,NA,NA,months,1369.8
357,46,video_camera,30,36,0,NA,NA,months,1400.24
359,47,video_camera,30,37,0,NA,NA,months,1430.68
360,43,video_camera,30,38,0,NA,NA,months,1308.92
361,46,video_camera,30,39,0,NA,NA,months,1400.24
362,44,video_camera,30,40,0,NA,NA,months,1339.3600000000001
363,44,video_camera,30,41,0,NA,NA,months,1339.3600000000001
364,43,video_camera,30,42,0,NA,NA,months,1308.92
365,45,video_camera,30,43,0,NA,NA,months,1369.8
366,46,video_camera,30,44,0,NA,NA,months,1400.24
367,45,video_camera,30,45,0,NA,NA,months,1369.8
368,41,video_camera,30,46,0,NA,NA,months,1248.04
369,44,video_camera,30,47,0,NA,NA,months,1339.3600000000001
370,46,video_camera,30,48,0,NA,NA,months,1400.24
371,46,video_camera,30,49,0,NA,NA,months,1400.24
372,47,video_camera,30,50,0,NA,NA,months,1430.68
373,47,video_camera,30,51,0,NA,NA,months,1430.68
374,43,video_camera,30,52,0,NA,NA,months,1308.92
376,44,video_camera,30,53,0,NA,NA,months,1339.3600000000001
377,45,video_camera,30,54,0,NA,NA,months,1369.8
378,46,video_camera,30,55,0,NA,NA,months,1400.24
379,45,video_camera,30,56,0,NA,NA,months,1369.8
380,46,video_camera,30,57,0,NA,NA,months,1400.24
381,47,video_camera,30,58,0,NA,NA,months,1430.68
383,46,video_camera,30,59,0,NA,NA,months,1400.24
