lab_stimulus_id,carrier_phrase
belt,Look at the
bib,Find the
boot,Where's the
bucket,Look at the
can,Find the
chalk,Where's the
comb,Where's the
crib,Find the
donut,Find the
dress,Where's the
flag,Where's the
glasses,Look at the
glove,Find the
hammer,Find the
hose,Where's the
knife,Find the
ladder,Find the
lamp,Find the
muffin,Where's the
necklace,Look at the
plate,Find the
pudding,Look at the
purse,Look at the
puzzle,Where's the
scissors,Where's the
shorts,Look at the
shovel,Look at the
slide,Where's the
slipper,Where's the
sock,Look at the
tape,Look at the
zipper,Look at the
