lab_subject_id,sex,subject_id,native_language
319,female,0,eng
320,female,1,eng
321,male,2,eng
322,male,3,eng
323,male,4,eng
324,male,5,eng
325,male,6,eng
326,female,7,eng
327,female,8,eng
329,female,9,eng
330,female,10,eng
331,male,11,eng
332,female,12,eng
333,female,13,eng
334,male,14,eng
335,female,15,eng
336,male,16,eng
337,male,17,eng
338,female,18,eng
339,female,19,eng
340,female,20,eng
341,male,21,eng
342,male,22,eng
343,female,23,eng
344,female,24,eng
345,male,25,eng
346,male,26,eng
347,male,27,eng
348,male,28,eng
349,female,29,eng
350,female,30,eng
351,male,31,eng
352,female,32,eng
353,female,33,eng
354,male,34,eng
355,male,35,eng
357,male,36,eng
359,male,37,eng
360,female,38,eng
361,female,39,eng
362,male,40,eng
363,male,41,eng
364,female,42,eng
365,male,43,eng
366,female,44,eng
367,female,45,eng
368,male,46,eng
369,male,47,eng
370,female,48,eng
371,female,49,eng
372,male,50,eng
373,male,51,eng
374,female,52,eng
376,female,53,eng
377,female,54,eng
378,female,55,eng
379,female,56,eng
380,female,57,eng
381,female,58,eng
383,female,59,eng
