trial_type_id,trial_order,trial_id
0,1,0
0,1,64
0,1,335
0,1,750
0,1,845
1,2,1
1,2,65
1,2,336
1,2,751
1,2,846
2,3,2
2,3,66
2,3,337
2,3,752
2,3,847
3,4,3
3,4,67
3,4,338
3,4,753
3,4,848
4,5,4
4,5,68
4,5,339
4,5,754
4,5,849
5,6,5
5,6,69
5,6,340
5,6,755
5,6,850
6,7,6
6,7,70
6,7,341
6,7,756
6,7,851
7,8,7
7,8,71
7,8,342
7,8,757
7,8,852
8,9,8
8,9,72
8,9,343
8,9,758
8,9,853
9,10,9
9,10,73
9,10,344
9,10,759
9,10,854
10,11,10
10,11,74
10,11,345
10,11,760
10,11,855
11,12,11
11,12,75
11,12,346
11,12,761
11,12,856
12,13,12
12,13,76
12,13,347
12,13,762
12,13,857
13,14,13
13,14,77
13,14,348
13,14,763
13,14,858
14,15,14
14,15,78
14,15,349
14,15,764
14,15,859
15,16,15
15,16,79
15,16,350
15,16,765
15,16,860
16,1,16
16,1,96
16,1,351
16,1,766
16,1,861
17,2,17
17,2,97
17,2,352
17,2,767
17,2,862
18,3,18
18,3,98
18,3,353
18,3,768
18,3,863
19,4,19
19,4,99
19,4,354
19,4,769
19,4,864
20,5,20
20,5,100
20,5,355
20,5,770
20,5,865
21,6,21
21,6,101
21,6,356
21,6,771
21,6,866
22,7,22
22,7,102
22,7,357
22,7,772
22,7,867
23,8,23
23,8,103
23,8,358
23,8,773
23,8,868
24,9,24
24,9,104
24,9,359
24,9,774
24,9,869
25,10,25
25,10,105
25,10,360
25,10,775
25,10,870
26,11,26
26,11,106
26,11,361
26,11,776
26,11,871
27,12,27
27,12,107
27,12,362
27,12,777
27,12,872
28,13,28
28,13,108
28,13,363
28,13,778
28,13,873
29,14,29
29,14,109
29,14,364
29,14,779
29,14,874
30,15,30
30,15,110
30,15,365
30,15,780
30,15,875
31,16,31
31,16,111
31,16,366
31,16,781
31,16,876
32,1,32
32,1,367
32,1,782
32,1,797
32,1,877
33,2,33
33,2,368
33,2,783
33,2,798
33,2,878
34,3,34
34,3,369
34,3,784
34,3,799
34,3,879
35,4,35
35,4,370
35,4,785
35,4,800
35,4,880
36,5,36
36,5,371
36,5,786
36,5,801
36,5,881
37,6,37
37,6,372
37,6,787
37,6,802
37,6,882
38,7,38
38,7,373
38,7,788
38,7,803
38,7,883
39,8,39
39,8,374
39,8,789
39,8,804
39,8,884
40,9,40
40,9,375
40,9,790
40,9,805
40,9,885
41,10,41
41,10,376
41,10,791
41,10,806
41,10,886
42,11,42
42,11,377
42,11,792
42,11,807
42,11,887
43,12,43
43,12,378
43,12,793
43,12,808
43,12,888
44,13,44
44,13,379
44,13,794
44,13,809
44,13,889
45,14,45
45,14,380
45,14,795
45,14,810
45,14,890
46,15,46
46,15,381
46,15,796
46,15,811
46,15,891
47,16,47
47,16,382
47,16,812
47,16,892
48,1,48
48,1,160
48,1,383
48,1,813
48,1,893
49,2,49
49,2,161
49,2,384
49,2,814
49,2,894
50,3,50
50,3,162
50,3,385
50,3,815
50,3,895
51,4,51
51,4,163
51,4,386
51,4,816
51,4,896
52,5,52
52,5,164
52,5,387
52,5,817
52,5,897
53,6,53
53,6,165
53,6,388
53,6,818
53,6,898
54,7,54
54,7,166
54,7,389
54,7,819
54,7,899
55,8,55
55,8,167
55,8,390
55,8,820
55,8,900
56,9,56
56,9,168
56,9,391
56,9,821
56,9,901
57,10,57
57,10,169
57,10,392
57,10,822
57,10,902
58,11,58
58,11,170
58,11,393
58,11,823
58,11,903
59,12,59
59,12,171
59,12,394
59,12,824
59,12,904
60,13,60
60,13,172
60,13,395
60,13,825
60,13,905
61,14,61
61,14,173
61,14,396
61,14,826
61,14,906
62,15,62
62,15,174
62,15,397
62,15,827
62,15,907
63,16,63
63,16,175
63,16,398
63,16,828
63,16,908
64,1,80
64,1,208
64,1,399
64,1,829
64,1,941
65,2,81
65,2,209
65,2,400
65,2,830
65,2,942
66,3,82
66,3,210
66,3,401
66,3,831
66,3,943
67,4,83
67,4,211
67,4,402
67,4,832
67,4,944
68,5,84
68,5,212
68,5,403
68,5,833
68,5,945
69,6,85
69,6,213
69,6,404
69,6,834
69,6,946
70,7,86
70,7,214
70,7,405
70,7,835
70,7,947
71,8,87
71,8,215
71,8,406
71,8,836
71,8,948
72,9,88
72,9,216
72,9,407
72,9,837
72,9,949
73,10,89
73,10,217
73,10,408
73,10,838
73,10,950
74,11,90
74,11,218
74,11,409
74,11,839
74,11,951
75,12,91
75,12,219
75,12,410
75,12,840
75,12,952
76,13,92
76,13,220
76,13,411
76,13,841
76,13,953
77,14,93
77,14,221
77,14,412
77,14,842
77,14,954
78,15,94
78,15,222
78,15,413
78,15,843
78,15,955
79,16,95
79,16,414
79,16,844
79,16,956
80,1,112
80,1,303
80,1,415
80,1,925
81,2,113
81,2,304
81,2,416
81,2,926
82,3,114
82,3,305
82,3,417
82,3,927
83,4,115
83,4,306
83,4,418
83,4,928
84,5,116
84,5,307
84,5,419
84,5,929
85,6,117
85,6,308
85,6,420
85,6,930
86,7,118
86,7,309
86,7,421
86,7,931
87,8,119
87,8,310
87,8,422
87,8,932
88,9,120
88,9,311
88,9,423
88,9,933
89,10,121
89,10,312
89,10,424
89,10,934
90,11,122
90,11,313
90,11,425
90,11,935
91,12,123
91,12,314
91,12,426
91,12,936
92,13,124
92,13,315
92,13,427
92,13,937
93,14,125
93,14,316
93,14,428
93,14,938
94,15,126
94,15,317
94,15,429
94,15,939
95,16,127
95,16,318
95,16,430
95,16,940
96,1,128
96,1,431
96,1,447
97,2,129
97,2,432
97,2,448
98,3,130
98,3,433
98,3,449
99,4,131
99,4,434
99,4,450
100,5,132
100,5,435
100,5,451
101,6,133
101,6,436
101,6,452
102,7,134
102,7,437
102,7,453
