administration_id,dataset_id,subject_id,age,lab_age,lab_age_units,monitor_size_x,monitor_size_y,sample_rate,tracker,coding_method,administration_aux_data
0,0,0,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
1,0,1,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
2,0,2,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
3,0,3,27,27,months,NA,NA,30,video_camera,manual gaze coding,NA
4,0,4,26,26,months,NA,NA,30,video_camera,manual gaze coding,NA
5,0,5,21,21,months,NA,NA,30,video_camera,manual gaze coding,NA
6,0,6,22,22,months,NA,NA,30,video_camera,manual gaze coding,NA
7,0,7,21,21,months,NA,NA,30,video_camera,manual gaze coding,NA
8,0,8,24,24,months,NA,NA,30,video_camera,manual gaze coding,NA
9,0,9,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
10,0,10,22,22,months,NA,NA,30,video_camera,manual gaze coding,NA
11,0,11,25,25,months,NA,NA,30,video_camera,manual gaze coding,NA
12,0,12,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
13,0,13,22,22,months,NA,NA,30,video_camera,manual gaze coding,NA
14,0,14,24,24,months,NA,NA,30,video_camera,manual gaze coding,NA
15,0,15,25,25,months,NA,NA,30,video_camera,manual gaze coding,NA
16,0,16,22,22,months,NA,NA,30,video_camera,manual gaze coding,NA
17,0,17,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
18,0,18,26,26,months,NA,NA,30,video_camera,manual gaze coding,NA
19,0,19,22,22,months,NA,NA,30,video_camera,manual gaze coding,NA
20,0,20,27,27,months,NA,NA,30,video_camera,manual gaze coding,NA
21,0,21,24,24,months,NA,NA,30,video_camera,manual gaze coding,NA
22,0,22,26,26,months,NA,NA,30,video_camera,manual gaze coding,NA
23,0,23,26,26,months,NA,NA,30,video_camera,manual gaze coding,NA
24,0,24,27,27,months,NA,NA,30,video_camera,manual gaze coding,NA
25,0,25,27,27,months,NA,NA,30,video_camera,manual gaze coding,NA
26,0,26,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
27,0,27,25,25,months,NA,NA,30,video_camera,manual gaze coding,NA
28,0,28,23,23,months,NA,NA,30,video_camera,manual gaze coding,NA
29,0,29,22,22,months,NA,NA,30,video_camera,manual gaze coding,NA
30,0,30,26,26,months,NA,NA,30,video_camera,manual gaze coding,NA
31,0,31,27,27,months,NA,NA,30,video_camera,manual gaze coding,NA
32,0,32,22,22,months,NA,NA,30,video_camera,manual gaze coding,NA
33,0,33,21,21,months,NA,NA,30,video_camera,manual gaze coding,NA
34,0,34,24,24,months,NA,NA,30,video_camera,manual gaze coding,NA
35,0,35,21,21,months,NA,NA,30,video_camera,manual gaze coding,NA
