lab_stimulus_id,target_label_condition,dataset_id,stimulus_novelty,original_stimulus_label,english_stimulus_label,image_description,image_description_source,stimulus_image_path,stimulus_id,stimulus_aux_data
baby_High,High,0,familiar,baby,baby,baby,experiment documentation,baby,0,NA
milk_Low,Low,0,familiar,drink,drink,milk,experiment documentation,milk,1,NA
dog_High,High,0,familiar,dog,dog,dog,experiment documentation,dog,2,NA
cookie_Low,Low,0,familiar,food,food,cookie,experiment documentation,cookie,3,NA
bird_Low,Low,0,familiar,chicken,chicken,bird,experiment documentation,bird,4,NA
shoe_High,High,0,familiar,shoe,shoe,shoe,experiment documentation,shoe,5,NA
cow_Low,Low,0,familiar,animal,animal,cow,experiment documentation,cow,6,NA
milk_High,High,0,familiar,milk,milk,milk,experiment documentation,milk,7,NA
bird_High,High,0,familiar,bird,bird,bird,experiment documentation,bird,8,NA
cookie_High,High,0,familiar,cookie,cookie,cookie,experiment documentation,cookie,9,NA
ball_Low,Low,0,familiar,toy,toy,ball,experiment documentation,ball,10,NA
dog_Low,Low,0,familiar,puppy,puppy,dog,experiment documentation,dog,11,NA
baby_Low,Low,0,familiar,boy,boy,baby,experiment documentation,baby,12,NA
shoe_Low,Low,0,familiar,boot,boot,shoe,experiment documentation,shoe,13,NA
cow_High,High,0,familiar,cow,cow,cow,experiment documentation,cow,14,NA
ball_High,High,0,familiar,ball,ball,ball,experiment documentation,ball,15,NA
