trial_type_id,full_phrase,point_of_disambiguation,target_side,condition,trial_type_aux_data,vanilla_trial,aoi_region_set_id,lab_trial_id,dataset_id,target_id,distractor_id,full_phrase_language
0,Where is the baby? Check that out!,0,left,Common-High,NA,TRUE,NA,baby-baby-cow,0,0,14,eng
1,"Can you find the drink? Wow, cool!",0,left,Common-Low,NA,TRUE,NA,drink-milk-shoe,0,1,13,eng
2,Look at the dog. Do you see it?,0,right,Common-High,NA,TRUE,NA,dog-dog-bird,0,2,8,eng
3,"Do you like the food? Wow, cool!",0,right,Common-Low,NA,TRUE,NA,food-cookie-ball,0,3,10,eng
4,Look at the chicken. Check that out!,0,left,Common-Low,NA,TRUE,NA,chicken-bird-dog,0,4,11,eng
5,Can you find the shoe? Do you see it?,0,right,Common-High,NA,TRUE,NA,shoe-shoe-milk,0,5,7,eng
6,"Where is the animal. Wow, cool",0,right,Common-Low,NA,TRUE,NA,animal-cow-baby,0,6,12,eng
7,Examine the chicken. Do you see it?,0,right,Uncommon-Low,NA,FALSE,NA,chicken-bird-dog,0,4,11,eng
8,Which side has the milk? Check that out!,0,left,Uncommon-High,NA,FALSE,NA,milk-milk-shoe,0,7,5,eng
9,Would you prefer the bird? Check that out!,0,left,Uncommon-High,NA,FALSE,NA,bird-bird-dog,0,8,2,eng
10,"Examine the cookie! Wow, cool!",0,right,Uncommon-High,NA,FALSE,NA,cookie-cookie-ball,0,9,15,eng
11,Which side has the animal? Do you see it?,0,left,Uncommon-Low,NA,FALSE,NA,animal-cow-baby,0,6,12,eng
12,"Could you spot the drink? Wow, cool!",0,right,Uncommon-Low,NA,FALSE,NA,drink-milk-shoe,0,1,13,eng
13,Which side has the baby? Do you see it?,0,right,Uncommon-High,NA,FALSE,NA,baby-baby-cow,0,0,14,eng
14,Examine the toy. Check that out!,0,left,Uncommon-Low,NA,FALSE,NA,toy-ball-cookie,0,10,3,eng
15,"Would you prefer the puppy? Wow, cool!",0,right,Uncommon-Low,NA,FALSE,NA,puppy-dog-bird,0,11,4,eng
16,Cold you spot the shoe? Check that out!,0,left,Uncommon-High,NA,FALSE,NA,shoe-shoe-milk,0,5,7,eng
17,Look at the cookie. Do you see it?,0,left,Common-High,NA,TRUE,NA,cookie-cookie-ball,0,9,15,eng
18,"Do you like the bird? Wow, cool!",0,right,Common-High,NA,TRUE,NA,bird-bird-dog,0,8,2,eng
19,Can you find the boy? Check that out!,0,right,Common-Low,NA,TRUE,NA,boy-baby-cow,0,12,6,eng
20,"Where is the boot? Wow, cool!",0,left,Common-Low,NA,TRUE,NA,boot-shoe-milk,0,13,1,eng
21,Do you like the puppy? Check that out!,0,left,Common-Low,NA,TRUE,NA,puppy-dog-bird,0,11,4,eng
22,Where is the milk? Do you see it?,0,right,Common-High,NA,TRUE,NA,milk-milk-shoe,0,7,5,eng
23,"Can you find the cow? Wow, cool!",0,left,Common-High,NA,TRUE,NA,cow-cow-baby,0,14,0,eng
24,Look at the toy. Check that out!,0,right,Common-Low,NA,TRUE,NA,toy-ball-cookie,0,10,3,eng
25,Could you spot the cow? Do you see it?,0,right,Uncommon-High,NA,FALSE,NA,cow-cow-baby,0,14,0,eng
26,Which side has the boot? Check that out!,0,right,Uncommon-Low,NA,FALSE,NA,boot-shoe-milk,0,13,1,eng
27,"Would you prefer the food? Wow, cool!",0,left,Uncommon-Low,NA,FALSE,NA,food-cookie-ball,0,3,10,eng
28,Examine the dog. Do you see it?,0,left,Uncommon-High,NA,FALSE,NA,dog-dog-bird,0,2,8,eng
29,Would you prefer the ball? Check that out!,0,right,Uncommon-High,NA,FALSE,NA,ball-ball-cookie,0,15,9,eng
30,"Could you spot the boy? Wow, cool!",0,left,Uncommon-Low,NA,FALSE,NA,boy-baby-cow,0,12,6,eng
31,Do you like the ball? Check that out!,0,left,Common-High,NA,TRUE,NA,ball-ball-cookie,0,15,9,eng
