Sub Num	Months	Sex	Order	Tr Num	Prescreen Notes	L-image	C-Image	R-image	Target Side	Target Image	Condition	Response	First Shift Gap	RT	CritOnSet	CritOffSet	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	F0	F33	F67	F100	F133	F167	F200	F233	F267	F300	F333	F367	F400	F433	F467	F500	F533	F567	F600	F633	F667	F700	F733	F767	F800	F833	F867	F900	F933	F967	F1000	F1033	F1067	F1100	F1133	F1167	F1200	F1233	F1267	F1300	F1333	F1367	F1400	F1433	F1467	F1500	F1533	F1567	F1600	F1633	F1667	F1700	F1733	F1767	F1800	F1833	F1867	F1900	F1933	F1967	F2000	F2033	F2067	F2100	F2133	F2167	F2200	F2233	F2267	F2300	F2333	F2367	F2400	F2433	F2467	F2500	F2533	F2567	F2600	F2633	F2667	F2700	F2733	F2767	F2800	F2833	F2867	F2900	F2933	F2967	F3000	F3033	F3067	F3100	F3133	F3167	F3200	F3233	F3267	F3300	F3333	F3367	F3400	F3433	F3467	F3500	F3533	F3567	F3600	F3633	F3667	F3700	F3733	F3767	F3800	F3833	F3867	F3900	F3933	F3967	F4000	F4033	F4067	F4100	F4133	F4167	F4200	F4233	F4267	F4300	F4333	F4367	F4400	F4433	F4467	F4500	F4533	F4567	F4600
101	23	F	Mix_e1_wc	2	All Good	Cookie		Door	l	Cookie	same	T			3244	3837	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																														
101	23	F	Mix_e1_wc	3	All Good	Kitty		Foot	l	Kitty	same	D	3	567	3103	3538	 	 	 	 	 	1	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																											
101	23	F	Mix_e1_wc	4	All Good	Milk		Mouth	r	Mouth	mix	T	2	400	2960	3471	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1																																																																						
101	23	F	Mix_e1_wc	5	All Good	Dog		Balloon	r	Balloon	mix	D	2	867	3025	3557	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																												
101	23	F	Mix_e1_wc	7	All Good	Mouth		Milk	r	Milk	same	D	2	733	2803	3437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-	-	-	-	-	-	-	-	-	-	-	-	.	1	1	1	1	1	1	1	1	1	1	.	.	.	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																	
101	23	F	Mix_e1_wc	8	All Good	Door		Cookie	l	Door	mix	T	2	2267	3083	3629	 	 	 	 	 	 	.	.	.	.	1	1	1	1	1	1	1	1	1	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	-	-	-	-	-	-	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0	0	0	0	0	0	0																																																											
101	23	F	Mix_e1_wc	9	All Good	Foot		Kitty	l	Foot	mix	T			3201	3404	 	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																			
101	23	F	Mix_e1_wc	10	All Good	Balloon		Dog	r	Dog	same	D	2	367	2860	3404	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																				
101	23	F	Mix_e1_wc	12	All Good	Door		Cookie	r	Cookie	mix	D	2	500	2901	3538	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	.	-	-	-	-	-	-	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																							
101	23	F	Mix_e1_wc	13	All Good	Milk		Mouth	l	Milk	mix	D	3	533	3134	3804	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	.	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																														
