condition,target_image,left,right,full_phrase
A,cookie,cookie,banana,Where is the cookie? Let's find the cookie.
A,donut,goldfish,donut,Do you see the donut? Show me the donut.
A,firetruck,firetruck,bird,"Where is the firetruck? Look, see the firetruck?"
A,hug,feed,hug,"Look, hugging. Find where she is hugging cookie monster."
A,wash,wash,rock,Find washing. Do you see where she is washing the baby?
A,tie,cut,tie,Do you see tying? Can you find where she is tying the ribbon?
A,crab,crab,pancakes,Show me the crab. Do you see the crab?
A,jump,run,jump,Where is jumping? Find where she is jumping.
A,open,shake,open,Where is opening? Do you see where she is opening the present?
A,read,read,rip,Do you see reading? Where is she reading the paper?
A,giraffe,rocketship,giraffe,Can you find the giraffe? Look! See the giraffe?
A,clap,stretch,clap,"Look, clapping. Where is she clapping?"
A,lift,lift,pull,Where is lifting? Find where she is lifting pooh bear.
A,spin,march,spin,Do you see spinning? Show me where she is spinning.
A,dance,dance,cry,Look! Dancing! Can you show me where she is dancing?
A,tickle,kiss,tickle,Where is tickling? Can you find where she is tickling the bear?
A,squeeze,squeeze,blow,Do you see squeezing? Find where she is squeezing the balloon.
A,orange,orange,airplane,Do you see the orange? Show me the orange.
A,throw,kick,throw,Find throwing. Show me where she is throwing the balloon.
A,pour,pour,drink,Where is pouring? Do you see where she is pouring the juice?
A,eat,eat,push,"Look, eating. Do you see where she is eating the cake?"
A,grapes,squirrel,grapes,Do you see the grapes? Can you find the grapes?
A,bite,drop,bite,Find biting! Do you see where she is biting the cupcake?
A,lick,lick,break,"Look, licking. Where is she licking the lollipop?"
A,roll,roll,bounce,Let's find rolling! Do you see where she is rolling the ball?
B,banana,cookie,banana,Where is the banana? Let's find the banana.
B,goldfish,goldfish,donut,Do you see the goldfish? Show me the goldfish.
B,bird,firetruck,bird,"Where is the bird? Look, see the bird?"
B,feed,feed,hug,Where is feeding? Find where she is feeding cookie monster.
B,drink,pour,drink,Do you see drinking? Where is she drinking the juice?
B,rock,wash,rock,Can you find rocking? Show me where she is rocking the baby.
B,push,eat,push,Do you see pushing? Find where she is pushing the cake.
